logging to /data1/flows_res/2016020400-2016020500_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
open file /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
[FILE]: /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
total_access_num: 36406688
total_access_size: 129197470965
unique_access_num: 22091869
unique_access_size: 78462580025
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.288389
cache_size, BMRC_ratio, OMRC_ratio
784625800, 0.906646, 0.906960
1569251600, 0.876093, 0.876680
2353877400, 0.853765, 0.854387
3138503201, 0.835740, 0.836291
3923129001, 0.820771, 0.821552
4707754801, 0.808370, 0.809049
5492380601, 0.796810, 0.797694
6277006402, 0.786624, 0.787564
7061632202, 0.777274, 0.778159
7846258002, 0.768918, 0.769935
8630883802, 0.761552, 0.762541
9415509603, 0.754461, 0.755438
10200135403, 0.747947, 0.748939
10984761203, 0.741862, 0.742847
11769387003, 0.736041, 0.737112
12554012804, 0.730675, 0.731591
13338638604, 0.725569, 0.726460
14123264404, 0.720506, 0.721395
14907890204, 0.715812, 0.716747
15692516005, 0.711315, 0.712226
16477141805, 0.707165, 0.708068
17261767605, 0.703185, 0.704156
18046393405, 0.699326, 0.700311
18831019206, 0.695456, 0.696526
19615645006, 0.691641, 0.692862
20400270806, 0.688266, 0.689461
21184896606, 0.684759, 0.686000
21969522407, 0.681422, 0.682644
22754148207, 0.678278, 0.679567
23538774007, 0.675403, 0.676678
24323399807, 0.672753, 0.674167
25108025608, 0.670120, 0.671476
25892651408, 0.667449, 0.668784
26677277208, 0.665129, 0.666482
27461903008, 0.662765, 0.664136
28246528809, 0.660594, 0.661950
29031154609, 0.658489, 0.659873
29815780409, 0.656411, 0.657769
30600406209, 0.654289, 0.655704
31385032010, 0.652228, 0.653611
32169657810, 0.650320, 0.651622
32954283610, 0.648611, 0.649936
33738909410, 0.646714, 0.648090
34523535211, 0.645131, 0.646403
35308161011, 0.643410, 0.644739
36092786811, 0.641783, 0.643096
36877412611, 0.640310, 0.641569
37662038412, 0.638919, 0.640163
38446664212, 0.637584, 0.638844
39231290012, 0.636215, 0.637504
40015915812, 0.635060, 0.636334
40800541613, 0.633604, 0.634966
41585167413, 0.632356, 0.633713
42369793213, 0.631257, 0.632598
43154419013, 0.630091, 0.631417
43939044814, 0.628937, 0.630340
44723670614, 0.627777, 0.629187
45508296414, 0.626716, 0.628099
46292922214, 0.625661, 0.627055
47077548015, 0.624726, 0.626099
47862173815, 0.623973, 0.625369
48646799615, 0.623165, 0.624539
49431425415, 0.622285, 0.623627
50216051216, 0.621516, 0.622825
51000677016, 0.620785, 0.622100
51785302816, 0.620147, 0.621424
52569928616, 0.619454, 0.620727
53354554417, 0.618767, 0.620100
54139180217, 0.618031, 0.619342
54923806017, 0.617382, 0.618710
55708431817, 0.616794, 0.618095
56493057618, 0.616173, 0.617480
57277683418, 0.615596, 0.616909
58062309218, 0.615068, 0.616392
58846935018, 0.614634, 0.615925
59631560819, 0.614111, 0.615409
60416186619, 0.613666, 0.614953
61200812419, 0.613193, 0.614513
61985438219, 0.612754, 0.614058
62770064020, 0.612363, 0.613673
63554689820, 0.612011, 0.613327
64339315620, 0.611698, 0.613036
65123941420, 0.611308, 0.612635
65908567221, 0.610896, 0.612217
66693193021, 0.610637, 0.611937
67477818821, 0.610307, 0.611574
68262444621, 0.610033, 0.611294
69047070422, 0.609780, 0.611031
69831696222, 0.609593, 0.610855
70616322022, 0.609428, 0.610668
71400947822, 0.609241, 0.610465
72185573623, 0.609093, 0.610289
72970199423, 0.608972, 0.610157
73754825223, 0.608856, 0.610053
74539451023, 0.608752, 0.609937
75324076824, 0.608658, 0.609833
76108702624, 0.608603, 0.609767
76893328424, 0.608526, 0.609707
77677954224, 0.608526, 0.609707
78462580025, 0.608521, 0.609696
Time used: 28911 ms
