logging to /data1/flows_res/2016020600-2016020700_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
open file /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
[FILE]: /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
total_access_num: 33430153
total_access_size: 118714355294
unique_access_num: 20328540
unique_access_size: 72316768109
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.287328
cache_size, BMRC_ratio, OMRC_ratio
723167681, 0.911483, 0.912978
1446335362, 0.879591, 0.880881
2169503043, 0.857023, 0.858177
2892670724, 0.838883, 0.839912
3615838405, 0.823980, 0.825159
4339006086, 0.810335, 0.811519
5062173767, 0.799027, 0.800038
5785341448, 0.788984, 0.789916
6508509129, 0.779467, 0.780325
7231676810, 0.770964, 0.771705
7954844491, 0.763006, 0.763712
8678012173, 0.755581, 0.756108
9401179854, 0.748858, 0.749347
10124347535, 0.742476, 0.743054
10847515216, 0.736555, 0.736981
11570682897, 0.731162, 0.731645
12293850578, 0.726242, 0.726554
13017018259, 0.721058, 0.721373
13740185940, 0.716396, 0.716646
14463353621, 0.711836, 0.712028
15186521302, 0.707707, 0.707936
15909688983, 0.703410, 0.703580
16632856665, 0.699611, 0.699722
17356024346, 0.695728, 0.695905
18079192027, 0.692276, 0.692405
18802359708, 0.689094, 0.689162
19525527389, 0.685726, 0.685830
20248695070, 0.682634, 0.682707
20971862751, 0.679494, 0.679566
21695030432, 0.676749, 0.676808
22418198113, 0.673837, 0.673877
23141365794, 0.671128, 0.671220
23864533475, 0.668486, 0.668528
24587701157, 0.666047, 0.666141
25310868838, 0.663758, 0.663814
26034036519, 0.661504, 0.661582
26757204200, 0.659257, 0.659303
27480371881, 0.657166, 0.657149
28203539562, 0.655350, 0.655265
28926707243, 0.653462, 0.653380
29649874924, 0.651527, 0.651430
30373042605, 0.649813, 0.649749
31096210286, 0.647973, 0.647870
31819377967, 0.646349, 0.646231
32542545649, 0.644539, 0.644394
33265713330, 0.643131, 0.642976
33988881011, 0.641771, 0.641529
34712048692, 0.640375, 0.640069
35435216373, 0.638930, 0.638657
36158384054, 0.637594, 0.637323
36881551735, 0.636396, 0.636049
37604719416, 0.635035, 0.634571
38327887097, 0.633927, 0.633458
39051054778, 0.632734, 0.632244
39774222459, 0.631674, 0.631221
40497390141, 0.630661, 0.630209
41220557822, 0.629708, 0.629318
41943725503, 0.628809, 0.628379
42666893184, 0.627808, 0.627374
43390060865, 0.626909, 0.626411
44113228546, 0.625903, 0.625399
44836396227, 0.625016, 0.624496
45559563908, 0.624249, 0.623712
46282731589, 0.623386, 0.622887
47005899270, 0.622619, 0.622121
47729066951, 0.621906, 0.621391
48452234633, 0.621241, 0.620757
49175402314, 0.620611, 0.620111
49898569995, 0.620012, 0.619459
50621737676, 0.619437, 0.618878
51344905357, 0.618808, 0.618232
52068073038, 0.618250, 0.617628
52791240719, 0.617639, 0.616976
53514408400, 0.617142, 0.616503
54237576081, 0.616698, 0.616085
54960743762, 0.616171, 0.615522
55683911443, 0.615787, 0.615127
56407079125, 0.615386, 0.614732
57130246806, 0.614996, 0.614296
57853414487, 0.614631, 0.613913
58576582168, 0.614223, 0.613470
59299749849, 0.613828, 0.613105
60022917530, 0.613486, 0.612758
60746085211, 0.613175, 0.612423
61469252892, 0.612899, 0.612136
62192420573, 0.612689, 0.611945
62915588254, 0.612390, 0.611657
63638755935, 0.612198, 0.611448
64361923617, 0.611982, 0.611251
65085091298, 0.611838, 0.611113
65808258979, 0.611682, 0.610928
66531426660, 0.611599, 0.610826
67254594341, 0.611467, 0.610706
67977762022, 0.611347, 0.610557
68700929703, 0.611233, 0.610449
69424097384, 0.611125, 0.610341
70147265065, 0.611047, 0.610275
70870432746, 0.610999, 0.610228
71593600427, 0.610999, 0.610222
72316768109, 0.610999, 0.610216
Time used: 26098 ms
