logging to /data1/flows_res/2016020800-2016020900_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
open file /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
read 37000000 lines
read 38000000 lines
read 39000000 lines
read 40000000 lines
read 41000000 lines
read 42000000 lines
read 43000000 lines
read 44000000 lines
read 45000000 lines
read 46000000 lines
[FILE]: /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
total_access_num: 46389077
total_access_size: 162654038863
unique_access_num: 28509103
unique_access_size: 100320285024
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.291591
cache_size, BMRC_ratio, OMRC_ratio
1003202850, 0.920586, 0.919717
2006405700, 0.893088, 0.892063
3009608550, 0.872813, 0.871787
4012811400, 0.856604, 0.855486
5016014251, 0.842256, 0.841138
6019217101, 0.829677, 0.828428
7022419951, 0.817971, 0.816891
8025622801, 0.807226, 0.806181
9028825652, 0.797640, 0.796532
10032028502, 0.788889, 0.787724
11035231352, 0.780631, 0.779679
12038434202, 0.772784, 0.771884
13041637053, 0.765418, 0.764598
14044839903, 0.758665, 0.757847
15048042753, 0.752224, 0.751332
16051245603, 0.746220, 0.745262
17054448454, 0.740238, 0.739342
18057651304, 0.734610, 0.733681
19060854154, 0.729384, 0.728482
20064057004, 0.724405, 0.723558
21067259855, 0.720002, 0.719113
22070462705, 0.715576, 0.714660
23073665555, 0.711104, 0.710197
24076868405, 0.707055, 0.706123
25080071256, 0.703105, 0.702178
26083274106, 0.699316, 0.698475
27086476956, 0.695617, 0.694702
28089679806, 0.692070, 0.691107
29092882656, 0.688709, 0.687683
30096085507, 0.685521, 0.684502
31099288357, 0.682679, 0.681531
32102491207, 0.679898, 0.678768
33105694057, 0.677147, 0.676056
34108896908, 0.674473, 0.673413
35112099758, 0.672042, 0.670998
36115302608, 0.669464, 0.668450
37118505458, 0.667228, 0.666062
38121708309, 0.664939, 0.663678
39124911159, 0.662703, 0.661470
40128114009, 0.660787, 0.659496
41131316859, 0.658888, 0.657582
42134519710, 0.657006, 0.655641
43137722560, 0.655111, 0.653615
44140925410, 0.653407, 0.651882
45144128260, 0.651737, 0.650149
46147331111, 0.649968, 0.648394
47150533961, 0.648380, 0.646851
48153736811, 0.646793, 0.645217
49156939661, 0.645452, 0.643781
50160142512, 0.644228, 0.642487
51163345362, 0.643064, 0.641285
52166548212, 0.641809, 0.640052
53169751062, 0.640663, 0.638823
54172953912, 0.639530, 0.637715
55176156763, 0.638332, 0.636464
56179359613, 0.637220, 0.635318
57182562463, 0.636199, 0.634292
58185765313, 0.635247, 0.633309
59188968164, 0.634387, 0.632438
60192171014, 0.633534, 0.631498
61195373864, 0.632747, 0.630666
62198576714, 0.631886, 0.629829
63201779565, 0.631121, 0.629040
64204982415, 0.630281, 0.628204
65208185265, 0.629581, 0.627531
66211388115, 0.628958, 0.626902
67214590966, 0.628274, 0.626242
68217793816, 0.627608, 0.625574
69220996666, 0.626985, 0.624988
70224199516, 0.626367, 0.624423
71227402367, 0.625830, 0.623901
72230605217, 0.625255, 0.623336
73233808067, 0.624658, 0.622785
74237010917, 0.624173, 0.622315
75240213768, 0.623637, 0.621776
76243416618, 0.623200, 0.621336
77246619468, 0.622828, 0.620939
78249822318, 0.622357, 0.620443
79253025168, 0.621985, 0.620103
80256228019, 0.621600, 0.619711
81259430869, 0.621271, 0.619357
82262633719, 0.620929, 0.619029
83265836569, 0.620631, 0.618723
84269039420, 0.620341, 0.618460
85272242270, 0.620047, 0.618180
86275445120, 0.619887, 0.618016
87278647970, 0.619666, 0.617783
88281850821, 0.619476, 0.617598
89285053671, 0.619281, 0.617417
90288256521, 0.619147, 0.617283
91291459371, 0.619008, 0.617154
92294662222, 0.618896, 0.617050
93297865072, 0.618797, 0.616930
94301067922, 0.618680, 0.616809
95304270772, 0.618598, 0.616723
96307473623, 0.618533, 0.616662
97310676473, 0.618459, 0.616576
98313879323, 0.618425, 0.616533
99317082173, 0.618407, 0.616512
100320285024, 0.618390, 0.616494
Time used: 36945 ms
