logging to /data1/flows_res/2016020900-2016021000_unique/tenant_6_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020900-2016021000_unique/tenant_6_trace
open file /data1/tenant_trace/2016020900-2016021000_unique/tenant_6_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
read 37000000 lines
read 38000000 lines
read 39000000 lines
read 40000000 lines
read 41000000 lines
read 42000000 lines
read 43000000 lines
read 44000000 lines
read 45000000 lines
read 46000000 lines
read 47000000 lines
read 48000000 lines
read 49000000 lines
read 50000000 lines
read 51000000 lines
read 52000000 lines
read 53000000 lines
read 54000000 lines
read 55000000 lines
read 56000000 lines
read 57000000 lines
read 58000000 lines
read 59000000 lines
read 60000000 lines
read 61000000 lines
read 62000000 lines
read 63000000 lines
read 64000000 lines
read 65000000 lines
read 66000000 lines
read 67000000 lines
read 68000000 lines
read 69000000 lines
read 70000000 lines
read 71000000 lines
read 72000000 lines
read 73000000 lines
read 74000000 lines
read 75000000 lines
read 76000000 lines
read 77000000 lines
read 78000000 lines
read 79000000 lines
read 80000000 lines
read 81000000 lines
read 82000000 lines
read 83000000 lines
read 84000000 lines
read 85000000 lines
read 86000000 lines
read 87000000 lines
read 88000000 lines
read 89000000 lines
read 90000000 lines
read 91000000 lines
read 92000000 lines
read 93000000 lines
read 94000000 lines
read 95000000 lines
read 96000000 lines
read 97000000 lines
read 98000000 lines
read 99000000 lines
read 100000000 lines
read 101000000 lines
read 102000000 lines
read 103000000 lines
read 104000000 lines
read 105000000 lines
read 106000000 lines
read 107000000 lines
read 108000000 lines
read 109000000 lines
read 110000000 lines
read 111000000 lines
read 112000000 lines
read 113000000 lines
read 114000000 lines
read 115000000 lines
read 116000000 lines
read 117000000 lines
read 118000000 lines
read 119000000 lines
read 120000000 lines
read 121000000 lines
read 122000000 lines
read 123000000 lines
[FILE]: /data1/tenant_trace/2016020900-2016021000_unique/tenant_6_trace
total_access_num: 123764515
total_access_size: 17885912378477
unique_access_num: 45702185
unique_access_size: 4407030742570
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.341895
cache_size, BMRC_ratio, OMRC_ratio
44070307425, 0.551505, 0.764371
88140614851, 0.501181, 0.702853
132210922277, 0.467635, 0.660427
176281229702, 0.442499, 0.628085
220351537128, 0.422382, 0.602101
264421844554, 0.405986, 0.580670
308492151979, 0.391970, 0.562168
352562459405, 0.379882, 0.546341
396632766831, 0.369331, 0.532409
440703074257, 0.359943, 0.520219
484773381682, 0.351801, 0.509522
528843689108, 0.344464, 0.499885
572913996534, 0.337685, 0.490924
616984303959, 0.331637, 0.483006
661054611385, 0.326194, 0.475875
705124918811, 0.321194, 0.469282
749195226236, 0.316573, 0.463170
793265533662, 0.312257, 0.457425
837335841088, 0.308345, 0.452218
881406148514, 0.304579, 0.447348
925476455939, 0.301136, 0.442849
969546763365, 0.298028, 0.438702
1013617070791, 0.294987, 0.434705
1057687378216, 0.292305, 0.431151
