logging to /opt/flows_res_1000/2016020100-2016020200_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020100-2016020200_unique/tenant_2_trace
open file /data1/tenant_trace/2016020100-2016020200_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
[FILE]: /data1/tenant_trace/2016020100-2016020200_unique/tenant_2_trace
total_access_num: 14900026
total_access_size: 52660956054
unique_access_num: 10406022
unique_access_size: 36715945725
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.024650
cache_size, BMRC_ratio, OMRC_ratio
36715945, 0.973381, 0.970159
73431891, 0.965985, 0.963153
110147837, 0.960934, 0.958361
146863782, 0.956512, 0.954213
183579728, 0.952921, 0.950817
220295674, 0.949652, 0.947824
257011620, 0.946369, 0.944763
293727565, 0.942993, 0.941609
330443511, 0.940273, 0.938871
367159457, 0.937472, 0.936280
403875402, 0.934779, 0.934012
440591348, 0.932314, 0.931690
477307294, 0.929996, 0.929488
514023240, 0.927812, 0.927502
550739185, 0.925480, 0.925435
587455131, 0.923323, 0.923354
624171077, 0.921233, 0.921461
660887023, 0.919330, 0.919703
697602968, 0.917320, 0.917743
734318914, 0.915471, 0.915985
771034860, 0.913689, 0.914307
807750805, 0.911988, 0.912656
844466751, 0.910284, 0.910938
881182697, 0.908797, 0.909502
917898643, 0.907189, 0.907918
954614588, 0.905608, 0.906415
991330534, 0.904054, 0.904965
1028046480, 0.902607, 0.903515
1064762426, 0.901187, 0.902146
1101478371, 0.899592, 0.900629
1138194317, 0.898199, 0.899166
1174910263, 0.896939, 0.897904
1211626208, 0.895412, 0.896401
1248342154, 0.894326, 0.895300
1285058100, 0.892893, 0.893878
1321774046, 0.891861, 0.892790
1358489991, 0.890615, 0.891623
1395205937, 0.889369, 0.890401
1431921883, 0.888216, 0.889220
1468637829, 0.887238, 0.888227
1505353774, 0.886019, 0.887166
1542069720, 0.884947, 0.886079
1578785666, 0.883808, 0.884992
1615501611, 0.882750, 0.883904
1652217557, 0.881584, 0.882817
1688933503, 0.880512, 0.881797
1725649449, 0.879494, 0.880817
1762365394, 0.878194, 0.879515
1799081340, 0.877256, 0.878495
1835797286, 0.876224, 0.877515
1872513231, 0.875233, 0.876482
1909229177, 0.874067, 0.875354
1945945123, 0.873143, 0.874509
1982661069, 0.872138, 0.873529
2019377014, 0.870999, 0.872374
2056092960, 0.869940, 0.871327
2092808906, 0.868882, 0.870334
2129524852, 0.867823, 0.869207
2166240797, 0.866993, 0.868361
2202956743, 0.866055, 0.867462
2239672689, 0.865210, 0.866509
2276388634, 0.864474, 0.865663
2313104580, 0.863616, 0.864790
2349820526, 0.862866, 0.863985
2386536472, 0.861901, 0.862952
2423252417, 0.861110, 0.862146
2459968363, 0.860306, 0.861381
2496684309, 0.859543, 0.860603
2533400255, 0.858591, 0.859596
2570116200, 0.857814, 0.858790
2606832146, 0.856903, 0.857837
2643548092, 0.856113, 0.857166
2680264037, 0.855242, 0.856240
2716979983, 0.854304, 0.855274
2753695929, 0.853620, 0.854562
2790411875, 0.852763, 0.853770
2827127820, 0.852026, 0.853032
2863843766, 0.851302, 0.852227
2900559712, 0.850431, 0.851462
2937275658, 0.849601, 0.850616
2973991603, 0.848797, 0.849878
3010707549, 0.848100, 0.849180
3047423495, 0.847256, 0.848321
3084139440, 0.846345, 0.847341
3120855386, 0.845688, 0.846777
3157571332, 0.845112, 0.846173
3194287278, 0.844536, 0.845609
3231003223, 0.843879, 0.844952
3267719169, 0.843116, 0.844213
3304435115, 0.842419, 0.843462
3341151060, 0.841682, 0.842777
3377867006, 0.840985, 0.842066
3414582952, 0.840315, 0.841421
3451298898, 0.839672, 0.840683
3488014843, 0.839002, 0.840012
3524730789, 0.838319, 0.839421
3561446735, 0.837850, 0.838884
3598162681, 0.837140, 0.838160
3634878626, 0.836564, 0.837582
3671594572, 0.835974, 0.836978
3708310518, 0.835425, 0.836468
3745026463, 0.834701, 0.835837
3781742409, 0.834125, 0.835193
3818458355, 0.833576, 0.834629
3855174301, 0.832906, 0.833999
3891890246, 0.832316, 0.833435
3928606192, 0.831713, 0.832898
3965322138, 0.831258, 0.832495
4002038084, 0.830614, 0.831918
4038754029, 0.830065, 0.831395
4075469975, 0.829409, 0.830683
4112185921, 0.828873, 0.830133
4148901866, 0.828243, 0.829462
4185617812, 0.827693, 0.828911
4222333758, 0.827077, 0.828227
4259049704, 0.826541, 0.827717
4295765649, 0.825925, 0.827166
4332481595, 0.825174, 0.826455
4369197541, 0.824585, 0.825757
4405913487, 0.824036, 0.825247
4442629432, 0.823312, 0.824549
4479345378, 0.822856, 0.824066
4516061324, 0.822321, 0.823596
4552777269, 0.821852, 0.823072
4589493215, 0.821128, 0.822334
4626209161, 0.820659, 0.821878
4662925107, 0.820123, 0.821421
4699641052, 0.819654, 0.820952
4736356998, 0.819132, 0.820428
4773072944, 0.818542, 0.819757
4809788889, 0.818100, 0.819354
4846504835, 0.817658, 0.818952
4883220781, 0.817189, 0.818455
4919936727, 0.816720, 0.817958
4956652672, 0.816090, 0.817354
4993368618, 0.815648, 0.816952
5030084564, 0.815098, 0.816361
5066800510, 0.814549, 0.815797
5103516455, 0.814094, 0.815327
5140232401, 0.813772, 0.815005
5176948347, 0.813276, 0.814495
5213664292, 0.812700, 0.813945
5250380238, 0.812218, 0.813529
5287096184, 0.811709, 0.813019
5323812130, 0.811280, 0.812576
5360528075, 0.810784, 0.812093
5397244021, 0.810422, 0.811717
5433959967, 0.810114, 0.811395
5470675913, 0.809752, 0.811046
5507391858, 0.809270, 0.810589
5544107804, 0.808841, 0.810106
5580823750, 0.808359, 0.809636
5617539695, 0.807890, 0.809180
5654255641, 0.807568, 0.808871
5690971587, 0.807140, 0.808468
5727687533, 0.806791, 0.808106
5764403478, 0.806362, 0.807676
5801119424, 0.805960, 0.807233
5837835370, 0.805572, 0.806791
5874551316, 0.805076, 0.806334
5911267261, 0.804674, 0.805972
5947983207, 0.804165, 0.805448
5984699153, 0.803763, 0.805046
6021415098, 0.803321, 0.804616
6058131044, 0.802771, 0.804133
6094846990, 0.802383, 0.803730
6131562936, 0.801820, 0.803180
6168278881, 0.801338, 0.802737
6204994827, 0.800949, 0.802294
6241710773, 0.800601, 0.801905
6278426718, 0.800226, 0.801556
6315142664, 0.799824, 0.801180
6351858610, 0.799556, 0.800871
6388574556, 0.799033, 0.800388
6425290501, 0.798631, 0.799972
6462006447, 0.798162, 0.799502
6498722393, 0.797827, 0.799153
6535438339, 0.797492, 0.798831
6572154284, 0.797171, 0.798455
6608870230, 0.796755, 0.797999
6645586176, 0.796353, 0.797529
6682302121, 0.795858, 0.797032
6719018067, 0.795657, 0.796831
6755734013, 0.795188, 0.796374
6792449959, 0.794732, 0.795945
6829165904, 0.794451, 0.795623
6865881850, 0.794049, 0.795207
6902597796, 0.793580, 0.794764
6939313742, 0.793231, 0.794415
6976029687, 0.792883, 0.794066
7012745633, 0.792575, 0.793757
7049461579, 0.792253, 0.793395
7086177524, 0.791878, 0.793046
7122893470, 0.791650, 0.792737
7159609416, 0.791262, 0.792374
7196325362, 0.790954, 0.792066
7233041307, 0.790498, 0.791650
7269757253, 0.790083, 0.791274
7306473199, 0.789815, 0.791005
7343189145, 0.789614, 0.790750
7379905090, 0.789212, 0.790334
7416621036, 0.788810, 0.789918
7453336982, 0.788408, 0.789556
7490052927, 0.787992, 0.789180
7526768873, 0.787698, 0.788858
7563484819, 0.787256, 0.788442
7600200765, 0.786880, 0.788066
7636916710, 0.786572, 0.787770
7673632656, 0.786251, 0.787475
7710348602, 0.785902, 0.787086
7747064547, 0.785540, 0.786777
7783780493, 0.785272, 0.786522
7820496439, 0.784924, 0.786160
7857212385, 0.784629, 0.785838
7893928330, 0.784335, 0.785556
7930644276, 0.784026, 0.785260
7967360222, 0.783665, 0.784911
8004076168, 0.783370, 0.784589
8040792113, 0.782941, 0.784173
8077508059, 0.782633, 0.783824
8114224005, 0.782231, 0.783421
8150939950, 0.781816, 0.783046
8187655896, 0.781521, 0.782737
8224371842, 0.781052, 0.782294
8261087788, 0.780891, 0.782079
8297803733, 0.780489, 0.781650
8334519679, 0.780060, 0.781260
8371235625, 0.779685, 0.780938
8407951571, 0.779457, 0.780723
8444667516, 0.779189, 0.780442
8481383462, 0.778814, 0.780079
8518099408, 0.778600, 0.779905
8554815353, 0.778305, 0.779609
8591531299, 0.777943, 0.779301
8628247245, 0.777541, 0.778844
8664963191, 0.777247, 0.778589
8701679136, 0.776885, 0.778213
8738395082, 0.776684, 0.777999
8775111028, 0.776496, 0.777824
8811826974, 0.776255, 0.777583
8848542919, 0.775974, 0.777341
8885258865, 0.775706, 0.777019
8921974811, 0.775478, 0.776804
8958690756, 0.775116, 0.776442
8995406702, 0.774821, 0.776119
9032122648, 0.774513, 0.775851
9068838594, 0.774165, 0.775515
9105554539, 0.773950, 0.775260
9142270485, 0.773749, 0.775086
9178986431, 0.773428, 0.774844
9215702376, 0.773066, 0.774549
9252418322, 0.772771, 0.774227
9289134268, 0.772517, 0.774012
9325850214, 0.772302, 0.773811
9362566159, 0.771954, 0.773489
9399282105, 0.771592, 0.773140
9435998051, 0.771351, 0.772911
9472713997, 0.771096, 0.772670
9509429942, 0.770842, 0.772428
9546145888, 0.770587, 0.772187
9582861834, 0.770333, 0.771932
9619577779, 0.770051, 0.771663
9656293725, 0.769824, 0.771421
9693009671, 0.769475, 0.771113
9729725617, 0.769261, 0.770952
9766441562, 0.769073, 0.770750
9803157508, 0.768658, 0.770415
9839873454, 0.768510, 0.770240
9876589400, 0.768108, 0.769797
9913305345, 0.767827, 0.769556
9950021291, 0.767559, 0.769287
9986737237, 0.767238, 0.768992
10023453182, 0.767037, 0.768804
10060169128, 0.766889, 0.768616
10096885074, 0.766755, 0.768442
10133601020, 0.766554, 0.768227
10170316965, 0.766434, 0.768119
10207032911, 0.766152, 0.767864
10243748857, 0.765817, 0.767556
10280464803, 0.765522, 0.767274
10317180748, 0.765362, 0.767113
10353896694, 0.765054, 0.766777
10390612640, 0.764879, 0.766616
10427328585, 0.764611, 0.766321
10464044531, 0.764236, 0.765985
