logging to /opt/flows_res_1000/2016020100-2016020200_unique/tenant_6_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
open file /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
[FILE]: /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
total_access_num: 35130276
total_access_size: 3768499313882
unique_access_num: 15194428
unique_access_size: 1307729735261
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.028321
cache_size, BMRC_ratio, OMRC_ratio
1307729735, 0.919720, 0.950303
2615459470, 0.882562, 0.922674
3923189205, 0.856175, 0.902669
5230918941, 0.835762, 0.886848
6538648676, 0.818323, 0.873190
7846378411, 0.803788, 0.861212
9154108146, 0.790410, 0.850708
10461837882, 0.778365, 0.841121
11769567617, 0.767896, 0.832450
13077297352, 0.757810, 0.824702
14385027087, 0.748849, 0.817620
15692756823, 0.740526, 0.810828
17000486558, 0.732729, 0.804457
18308216293, 0.725389, 0.798365
19615946028, 0.718378, 0.792564
20923675764, 0.711581, 0.786774
22231405499, 0.705154, 0.781599
23539135234, 0.699303, 0.776834
24846864969, 0.693648, 0.771898
26154594705, 0.688272, 0.767315
27462324440, 0.682956, 0.762767
28770054175, 0.678054, 0.758582
30077783911, 0.673181, 0.754358
31385513646, 0.668764, 0.750424
32693243381, 0.664246, 0.746627
34000973116, 0.659884, 0.742812
35308702852, 0.655892, 0.739260
36616432587, 0.651818, 0.735571
37924162322, 0.647899, 0.731842
39231892057, 0.644290, 0.728705
40539621793, 0.640755, 0.725648
41847351528, 0.637247, 0.722442
43155081263, 0.633858, 0.719157
44462810998, 0.630368, 0.715833
45770540734, 0.626997, 0.712747
47078270469, 0.623667, 0.709758
48386000204, 0.620466, 0.706912
49693729939, 0.617355, 0.704105
51001459675, 0.614500, 0.701429
52309189410, 0.611371, 0.698628
53616919145, 0.608425, 0.695987
54924648880, 0.605648, 0.693408
56232378616, 0.603090, 0.691005
57540108351, 0.600432, 0.688221
58847838086, 0.597974, 0.685864
60155567822, 0.595421, 0.683610
61463297557, 0.592708, 0.681156
62771027292, 0.590470, 0.678919
64078757027, 0.588067, 0.676687
65386486763, 0.585729, 0.674353
66694216498, 0.583390, 0.672235
68001946233, 0.581188, 0.670322
69309675968, 0.578868, 0.668096
70617405704, 0.576812, 0.666149
71925135439, 0.574752, 0.664031
73232865174, 0.572734, 0.662056
74540594909, 0.570824, 0.660137
75848324645, 0.568769, 0.658207
77156054380, 0.566636, 0.656254
78463784115, 0.564950, 0.654512
79771513850, 0.563114, 0.652554
81079243586, 0.561378, 0.650732
82386973321, 0.559684, 0.648979
83694703056, 0.557838, 0.647197
85002432791, 0.555989, 0.645364
86310162527, 0.554171, 0.643565
87617892262, 0.552608, 0.641988
88925621997, 0.550950, 0.640251
90233351733, 0.549215, 0.638589
91541081468, 0.547516, 0.636932
92848811203, 0.545839, 0.635406
94156540938, 0.544272, 0.633915
95464270674, 0.542550, 0.632287
96772000409, 0.540997, 0.630772
98079730144, 0.539486, 0.629349
99387459879, 0.538065, 0.627840
100695189615, 0.536622, 0.626451
102002919350, 0.535096, 0.625039
103310649085, 0.533717, 0.623696
104618378820, 0.532328, 0.622289
105926108556, 0.530844, 0.620724
107233838291, 0.529336, 0.619306
108541568026, 0.527852, 0.617769
109849297761, 0.526486, 0.616431
111157027497, 0.525184, 0.615054
112464757232, 0.523951, 0.613721
113772486967, 0.522622, 0.612389
115080216702, 0.521279, 0.611137
116387946438, 0.519973, 0.609896
117695676173, 0.518584, 0.608575
119003405908, 0.517113, 0.607095
120311135644, 0.515816, 0.605831
121618865379, 0.514715, 0.604641
122926595114, 0.513692, 0.603599
124234324849, 0.512486, 0.602477
125542054585, 0.511363, 0.601299
126849784320, 0.510079, 0.600007
128157514055, 0.509019, 0.598965
129465243790, 0.507951, 0.597838
130772973526, 0.506863, 0.596682
132080703261, 0.505795, 0.595543
133388432996, 0.504799, 0.594536
134696162731, 0.503757, 0.593539
136003892467, 0.502638, 0.592549
137311622202, 0.501601, 0.591541
138619351937, 0.500432, 0.590357
139927081672, 0.499500, 0.589435
141234811408, 0.498509, 0.588421
142542541143, 0.497550, 0.587482
143850270878, 0.496600, 0.586389
145158000613, 0.495654, 0.585358
146465730349, 0.494549, 0.584362
147773460084, 0.493480, 0.583349
149081189819, 0.492466, 0.582369
150388919555, 0.491516, 0.581533
151696649290, 0.490456, 0.580508
153004379025, 0.489447, 0.579472
154312108760, 0.488620, 0.578578
155619838496, 0.487757, 0.577633
156927568231, 0.486944, 0.576802
158235297966, 0.485944, 0.575908
159543027701, 0.484962, 0.575042
160850757437, 0.484080, 0.574126
162158487172, 0.483125, 0.573243
163466216907, 0.482340, 0.572469
164773946642, 0.481545, 0.571706
166081676378, 0.480609, 0.570864
167389406113, 0.479764, 0.569930
168697135848, 0.478905, 0.569076
170004865583, 0.478042, 0.568273
171312595319, 0.477251, 0.567499
172620325054, 0.476406, 0.566685
173928054789, 0.475694, 0.565825
175235784524, 0.474894, 0.565097
176543514260, 0.474168, 0.564368
177851243995, 0.473373, 0.563565
179158973730, 0.472606, 0.562700
180466703466, 0.471798, 0.561971
181774433201, 0.470962, 0.561129
183082162936, 0.470185, 0.560377
184389892671, 0.469400, 0.559608
185697622407, 0.468623, 0.558749
187005352142, 0.467938, 0.558014
188313081877, 0.467234, 0.557394
189620811612, 0.466504, 0.556642
190928541348, 0.465805, 0.555965
192236271083, 0.465028, 0.555179
193544000818, 0.464352, 0.554490
194851730553, 0.463717, 0.553881
196159460289, 0.463064, 0.553181
197467190024, 0.462379, 0.552481
198774919759, 0.461703, 0.551689
200082649494, 0.461032, 0.551075
201390379230, 0.460429, 0.550403
202698108965, 0.459789, 0.549685
204005838700, 0.459095, 0.549048
205313568435, 0.458487, 0.548416
206621298171, 0.457852, 0.547750
207929027906, 0.457231, 0.547089
209236757641, 0.456660, 0.546406
210544487377, 0.456035, 0.545729
211852217112, 0.455377, 0.545051
213159946847, 0.454733, 0.544345
214467676582, 0.454075, 0.543742
215775406318, 0.453481, 0.543155
217083136053, 0.452833, 0.542472
218390865788, 0.452147, 0.541829
219698595523, 0.451563, 0.541294
221006325259, 0.451033, 0.540724
222314054994, 0.450279, 0.540053
223621784729, 0.449686, 0.539438
224929514464, 0.449110, 0.538800
226237244200, 0.448498, 0.538174
227544973935, 0.447909, 0.537605
228852703670, 0.447310, 0.536967
230160433405, 0.446803, 0.536409
231468163141, 0.446191, 0.535771
232775892876, 0.445565, 0.535134
234083622611, 0.444976, 0.534559
235391352346, 0.444497, 0.534046
236699082082, 0.444017, 0.533528
238006811817, 0.443400, 0.532931
239314541552, 0.442880, 0.532418
240622271288, 0.442441, 0.531946
241930001023, 0.441943, 0.531462
243237730758, 0.441441, 0.530910
244545460493, 0.440952, 0.530454
245853190229, 0.440349, 0.529936
247160919964, 0.439774, 0.529310
248468649699, 0.439395, 0.528866
249776379434, 0.438837, 0.528302
251084109170, 0.438381, 0.527858
252391838905, 0.437915, 0.527420
253699568640, 0.437435, 0.526879
255007298375, 0.436978, 0.526412
256315028111, 0.436494, 0.525900
257622757846, 0.436101, 0.525490
258930487581, 0.435617, 0.525046
260238217316, 0.435174, 0.524636
261545947052, 0.434704, 0.524112
262853676787, 0.434311, 0.523662
264161406522, 0.433817, 0.523121
265469136257, 0.433324, 0.522655
266776865993, 0.432790, 0.522148
268084595728, 0.432278, 0.521675
269392325463, 0.431835, 0.521157
270700055199, 0.431461, 0.520747
272007784934, 0.431040, 0.520320
273315514669, 0.430638, 0.519916
274623244404, 0.430200, 0.519444
275930974140, 0.429729, 0.518977
277238703875, 0.429286, 0.518487
278546433610, 0.428775, 0.517969
279854163345, 0.428281, 0.517508
281161893081, 0.427884, 0.517149
282469622816, 0.427459, 0.516722
283777352551, 0.427016, 0.516295
285085082286, 0.426528, 0.515811
286392812022, 0.426185, 0.515367
287700541757, 0.425851, 0.514952
289008271492, 0.425459, 0.514536
290316001227, 0.425002, 0.514092
291623730963, 0.424614, 0.513722
292931460698, 0.424212, 0.513278
294239190433, 0.423787, 0.512783
295546920168, 0.423399, 0.512322
296854649904, 0.422988, 0.511895
298162379639, 0.422608, 0.511519
299470109374, 0.422257, 0.511160
300777839110, 0.421891, 0.510750
302085568845, 0.421530, 0.510346
303393298580, 0.421069, 0.509868
304701028315, 0.420667, 0.509481
306008758051, 0.420288, 0.509122
307316487786, 0.419914, 0.508678
308624217521, 0.419530, 0.508314
309931947256, 0.419210, 0.507955
311239676992, 0.418836, 0.507574
312547406727, 0.418530, 0.507278
313855136462, 0.418109, 0.506919
315162866197, 0.417744, 0.506515
316470595933, 0.417424, 0.506179
317778325668, 0.417150, 0.505883
319086055403, 0.416817, 0.505479
320393785138, 0.416415, 0.505137
321701514874, 0.416154, 0.504892
323009244609, 0.415771, 0.504442
324316974344, 0.415405, 0.504061
325624704079, 0.415113, 0.503697
326932433815, 0.414738, 0.503332
328240163550, 0.414391, 0.502974
329547893285, 0.414113, 0.502598
330855623021, 0.413770, 0.502228
332163352756, 0.413446, 0.501880
333471082491, 0.413158, 0.501596
334778812226, 0.412847, 0.501277
336086541962, 0.412496, 0.500941
337394271697, 0.412199, 0.500548
338702001432, 0.411911, 0.500178
340009731167, 0.411632, 0.499814
341317460903, 0.411299, 0.499398
342625190638, 0.410943, 0.499000
343932920373, 0.410637, 0.498641
345240650108, 0.410285, 0.498288
346548379844, 0.410015, 0.497958
347856109579, 0.409700, 0.497673
349163839314, 0.409358, 0.497309
350471569049, 0.409070, 0.496950
351779298785, 0.408759, 0.496609
353087028520, 0.408435, 0.496284
354394758255, 0.408152, 0.495943
355702487990, 0.407914, 0.495721
357010217726, 0.407640, 0.495436
358317947461, 0.407343, 0.495174
359625677196, 0.407019, 0.494821
360933406932, 0.406777, 0.494553
362241136667, 0.406485, 0.494229
363548866402, 0.406179, 0.493950
364856596137, 0.405900, 0.493688
366164325873, 0.405571, 0.493403
367472055608, 0.405238, 0.493085
368779785343, 0.404954, 0.492760
370087515078, 0.404699, 0.492453
371395244814, 0.404356, 0.492128
372702974549, 0.404036, 0.491826
374010704284, 0.403739, 0.491587
375318434019, 0.403497, 0.491371
376626163755, 0.403232, 0.491092
377933893490, 0.402949, 0.490762
379241623225, 0.402698, 0.490511
380549352960, 0.402447, 0.490278
381857082696, 0.402218, 0.489999
383164812431, 0.401963, 0.489714
384472542166, 0.401689, 0.489373
385780271901, 0.401447, 0.489099
387088001637, 0.401154, 0.488803
388395731372, 0.400912, 0.488553
389703461107, 0.400652, 0.488320
391011190843, 0.400433, 0.488098
392318920578, 0.400140, 0.487790
393626650313, 0.399889, 0.487511
394934380048, 0.399647, 0.487300
396242109784, 0.399377, 0.486976
397549839519, 0.399058, 0.486686
398857569254, 0.398779, 0.486395
400165298989, 0.398560, 0.486150
401473028725, 0.398350, 0.485826
402780758460, 0.398130, 0.485587
404088488195, 0.397865, 0.485314
405396217930, 0.397646, 0.485040
406703947666, 0.397418, 0.484778
408011677401, 0.397199, 0.484522
409319407136, 0.396988, 0.484277
410627136871, 0.396765, 0.483981
411934866607, 0.396555, 0.483788
413242596342, 0.396340, 0.483571
414550326077, 0.396080, 0.483321
415858055812, 0.395778, 0.483059
417165785548, 0.395486, 0.482757
418473515283, 0.395248, 0.482507
419781245018, 0.395024, 0.482268
421088974754, 0.394823, 0.482029
422396704489, 0.394540, 0.481744
423704434224, 0.394280, 0.481511
425012163959, 0.394061, 0.481271
426319893695, 0.393796, 0.481015
427627623430, 0.393490, 0.480742
428935353165, 0.393197, 0.480463
430243082900, 0.392992, 0.480269
431550812636, 0.392736, 0.480019
432858542371, 0.392494, 0.479700
434166272106, 0.392316, 0.479524
435474001841, 0.392106, 0.479319
436781731577, 0.391909, 0.479102
438089461312, 0.391685, 0.478846
439397191047, 0.391539, 0.478687
440704920782, 0.391320, 0.478533
442012650518, 0.391165, 0.478351
443320380253, 0.390904, 0.478066
444628109988, 0.390630, 0.477833
445935839724, 0.390407, 0.477571
447243569459, 0.390196, 0.477383
448551299194, 0.390009, 0.477172
449859028929, 0.389826, 0.476956
451166758665, 0.389593, 0.476717
452474488400, 0.389370, 0.476472
453782218135, 0.389187, 0.476250
455089947870, 0.388972, 0.475994
456397677606, 0.388803, 0.475800
457705407341, 0.388579, 0.475539
459013137076, 0.388328, 0.475334
460320866811, 0.388136, 0.475066
461628596547, 0.387922, 0.474833
462936326282, 0.387730, 0.474645
464244056017, 0.387511, 0.474406
465551785752, 0.387360, 0.474269
466859515488, 0.387195, 0.474098
468167245223, 0.386981, 0.473910
469474974958, 0.386793, 0.473683
470782704693, 0.386570, 0.473466
472090434429, 0.386305, 0.473204
473398164164, 0.386136, 0.473022
474705893899, 0.385939, 0.472777
476013623635, 0.385757, 0.472641
477321353370, 0.385583, 0.472493
478629083105, 0.385400, 0.472322
479936812840, 0.385218, 0.472117
481244542576, 0.385094, 0.471901
482552272311, 0.384921, 0.471758
483860002046, 0.384747, 0.471559
485167731781, 0.384574, 0.471331
486475461517, 0.384409, 0.471081
487783191252, 0.384231, 0.470916
489090920987, 0.384007, 0.470682
490398650722, 0.383825, 0.470443
491706380458, 0.383701, 0.470284
493014110193, 0.383491, 0.470085
494321839928, 0.383281, 0.469874
495629569663, 0.383107, 0.469697
496937299399, 0.382948, 0.469555
