logging to /opt/flows_res_1000/2016020400-2016020500_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
open file /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
[FILE]: /data1/tenant_trace/2016020400-2016020500_unique/tenant_2_trace
total_access_num: 36406688
total_access_size: 129197470965
unique_access_num: 22091869
unique_access_size: 78462580025
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.025429
cache_size, BMRC_ratio, OMRC_ratio
78462580, 0.958400, 0.958357
156925160, 0.949000, 0.948930
235387740, 0.941222, 0.941426
313850320, 0.935115, 0.935389
392312900, 0.929222, 0.929500
470775480, 0.924011, 0.924182
549238060, 0.919272, 0.919479
627700640, 0.914836, 0.915101
706163220, 0.910576, 0.910849
784625800, 0.906646, 0.906960
863088380, 0.903238, 0.903587
941550960, 0.899709, 0.900054
1020013540, 0.896251, 0.896572
1098476120, 0.893046, 0.893484
1176938700, 0.889984, 0.890457
1255401280, 0.887027, 0.887535
1333863860, 0.884212, 0.884761
1412326440, 0.881486, 0.882113
1490789020, 0.878781, 0.879421
1569251600, 0.876093, 0.876680
1647714180, 0.873741, 0.874312
1726176760, 0.871097, 0.871779
1804639340, 0.868788, 0.869604
1883101920, 0.866419, 0.867198
1961564500, 0.864121, 0.864885
2040027080, 0.861851, 0.862594
2118489660, 0.859855, 0.860622
2196952240, 0.857794, 0.858529
2275414820, 0.855842, 0.856529
2353877400, 0.853765, 0.854387
2432339980, 0.851868, 0.852569
2510802560, 0.849928, 0.850646
2589265140, 0.848009, 0.848685
2667727720, 0.846107, 0.846718
2746190300, 0.844376, 0.844971
2824652880, 0.842573, 0.843208
2903115460, 0.840704, 0.841351
2981578040, 0.839181, 0.839769
3060040620, 0.837345, 0.837917
3138503201, 0.835740, 0.836291
3216965781, 0.834096, 0.834627
3295428361, 0.832618, 0.833171
3373890941, 0.831012, 0.831622
