cache_size,BMRC_ratio,OMRC_ratio
1073741824,0.728566,0.399832
2147483648,0.728566,0.399832
3221225472,0.728566,0.399832
4294967296,0.728566,0.399832
5368709120,0.728566,0.399832
6442450944,0.728566,0.399832
7516192768,0.728566,0.399832
8589934592,0.728566,0.399832
9663676416,0.728566,0.399832
10737418240,0.728566,0.399832
11811160064,0.728566,0.399832
12884901888,0.728566,0.399832
13958643712,0.728566,0.399832
15032385536,0.728566,0.399832
16106127360,0.728566,0.399832
17179869184,0.728566,0.399832
18253611008,0.728566,0.399832
19327352832,0.728566,0.399832
20401094656,0.728566,0.399832
21474836480,0.728566,0.399832
22548578304,0.728566,0.399832
23622320128,0.728566,0.399832
24696061952,0.728566,0.399832
25769803776,0.728566,0.399832
26843545600,0.728566,0.399832
27917287424,0.728566,0.399832
28991029248,0.728566,0.399832
30064771072,0.728566,0.399832
31138512896,0.728566,0.399832
32212254720,0.728566,0.399832
33285996544,0.728566,0.399832
34359738368,0.728566,0.399832
35433480192,0.728566,0.399832
36507222016,0.728566,0.399832
37580963840,0.728566,0.399832
38654705664,0.728566,0.399832
39728447488,0.728566,0.399832
40802189312,0.728566,0.399832
41875931136,0.728566,0.399832
42949672960,0.728566,0.399832
44023414784,0.728566,0.399832
45097156608,0.728566,0.399832
46170898432,0.728566,0.399832
47244640256,0.728566,0.399832
48318382080,0.728566,0.399832
49392123904,0.728566,0.399832
50465865728,0.728566,0.399832
51539607552,0.728566,0.399832
52613349376,0.728566,0.399832
53687091200,0.728566,0.399832
54760833024,0.728566,0.399832
55834574848,0.728566,0.399832
56908316672,0.728566,0.399832
57982058496,0.728566,0.399832
59055800320,0.728566,0.399832
60129542144,0.728566,0.399832
61203283968,0.728566,0.399832
62277025792,0.728566,0.399832
63350767616,0.728566,0.399832
64424509440,0.728566,0.399832
65498251264,0.728566,0.399832
66571993088,0.728566,0.399832
67645734912,0.728566,0.399832
68719476736,0.728566,0.399832
69793218560,0.728566,0.399832
70866960384,0.728566,0.399832
71940702208,0.728566,0.399832
73014444032,0.728566,0.399832
74088185856,0.728566,0.399832
75161927680,0.728566,0.399832
76235669504,0.728566,0.399832
77309411328,0.728566,0.399832
78383153152,0.728566,0.399832
79456894976,0.728566,0.399832
80530636800,0.728566,0.399832
81604378624,0.728566,0.399832
82678120448,0.728566,0.399832
83751862272,0.728566,0.399832
84825604096,0.728566,0.399832
85899345920,0.728566,0.399832
86973087744,0.728566,0.399832
88046829568,0.728566,0.399832
89120571392,0.728566,0.399832
90194313216,0.728566,0.399832
91268055040,0.728566,0.399832
92341796864,0.728566,0.399832
93415538688,0.728566,0.399832
94489280512,0.728566,0.399832
95563022336,0.728566,0.399832
96636764160,0.728566,0.399832
97710505984,0.728566,0.399832
98784247808,0.728566,0.399832
99857989632,0.728566,0.399832
100931731456,0.728566,0.399832
102005473280,0.728566,0.399832
103079215104,0.728566,0.399832
104152956928,0.728566,0.399832
105226698752,0.728566,0.399832
106300440576,0.728566,0.399832
107374182400,0.728566,0.399832
108447924224,0.728566,0.399832
109521666048,0.728566,0.399832
110595407872,0.728566,0.399832
111669149696,0.728566,0.399832
112742891520,0.728566,0.399832
113816633344,0.728566,0.399832
114890375168,0.728566,0.399832
115964116992,0.728566,0.399832
117037858816,0.728566,0.399832
118111600640,0.728566,0.399832
119185342464,0.728566,0.399832
120259084288,0.728566,0.399832
121332826112,0.728566,0.399832
122406567936,0.728566,0.399832
123480309760,0.728566,0.399832
124554051584,0.728566,0.399832
125627793408,0.728566,0.399832
126701535232,0.728566,0.399832
127775277056,0.728566,0.399832
128849018880,0.728566,0.399832
129922760704,0.728566,0.399832
130996502528,0.728566,0.399832
132070244352,0.728566,0.399832
133143986176,0.728566,0.399832
134217728000,0.728566,0.399832
135291469824,0.728566,0.399832
136365211648,0.728566,0.399832
137438953472,0.728566,0.399832
138512695296,0.728566,0.399832
139586437120,0.728566,0.399832
140660178944,0.728566,0.399832
141733920768,0.728566,0.399832
142807662592,0.728566,0.399832
143881404416,0.728566,0.399832
144955146240,0.728566,0.399832
146028888064,0.728566,0.399832
147102629888,0.728566,0.399832
148176371712,0.728566,0.399832
149250113536,0.728566,0.399832
150323855360,0.728566,0.399832
151397597184,0.728566,0.399832
152471339008,0.728566,0.399832
153545080832,0.728566,0.399832
154618822656,0.728566,0.399832
155692564480,0.728566,0.399832
156766306304,0.728566,0.399832
157840048128,0.728566,0.399832
158913789952,0.728566,0.399832
159987531776,0.728566,0.399832
161061273600,0.728566,0.399832
162135015424,0.728566,0.399832
163208757248,0.728566,0.399832
164282499072,0.728566,0.399832
165356240896,0.728566,0.399832
166429982720,0.728566,0.399832
167503724544,0.728566,0.399832
168577466368,0.728566,0.399832
169651208192,0.728566,0.399832
170724950016,0.728566,0.399832
171798691840,0.728566,0.399832
172872433664,0.728566,0.399832
173946175488,0.728566,0.399832
175019917312,0.728566,0.399832
176093659136,0.728566,0.399832
177167400960,0.728566,0.399832
178241142784,0.728566,0.399832
179314884608,0.728566,0.399832
180388626432,0.728566,0.399832
181462368256,0.728566,0.399832
182536110080,0.728566,0.399832
183609851904,0.728566,0.399832
184683593728,0.728566,0.399832
185757335552,0.728566,0.399832
186831077376,0.728566,0.399832
187904819200,0.728566,0.399832
188978561024,0.728566,0.399832
190052302848,0.728566,0.399832
191126044672,0.728566,0.399832
192199786496,0.728566,0.399832
193273528320,0.728566,0.399832
194347270144,0.728566,0.399832
195421011968,0.728566,0.399832
196494753792,0.728566,0.399832
197568495616,0.728566,0.399832
198642237440,0.728566,0.399832
199715979264,0.728566,0.399832
200789721088,0.728566,0.399832
201863462912,0.728566,0.399832
202937204736,0.728566,0.399832
204010946560,0.728566,0.399832
205084688384,0.728566,0.399832
206158430208,0.728566,0.399832
207232172032,0.728566,0.399832
208305913856,0.728566,0.399832
209379655680,0.728566,0.399832
210453397504,0.728566,0.399832
211527139328,0.728566,0.399832
212600881152,0.728566,0.399832
213674622976,0.728566,0.399832
214748364800,0.728566,0.399832
215822106624,0.728566,0.399832
216895848448,0.728566,0.399832
217969590272,0.728566,0.399832
219043332096,0.728566,0.399832
220117073920,0.728566,0.399832
221190815744,0.728566,0.399832
222264557568,0.728566,0.399832
223338299392,0.728566,0.399832
224412041216,0.728566,0.399832
225485783040,0.728566,0.399832
226559524864,0.728566,0.399832
227633266688,0.728566,0.399832
228707008512,0.728566,0.399832
229780750336,0.728566,0.399832
230854492160,0.728566,0.399832
231928233984,0.728566,0.399832
233001975808,0.728566,0.399832
234075717632,0.728566,0.399832
235149459456,0.728566,0.399832
236223201280,0.728566,0.399832
237296943104,0.728566,0.399832
238370684928,0.728566,0.399832
239444426752,0.728566,0.399832
240518168576,0.728566,0.399832
241591910400,0.728566,0.399832
242665652224,0.728566,0.399832
243739394048,0.728566,0.399832
244813135872,0.728566,0.399832
245886877696,0.728566,0.399832
246960619520,0.728566,0.399832
248034361344,0.728566,0.399832
249108103168,0.728566,0.399832
250181844992,0.728566,0.399832
251255586816,0.728566,0.399832
252329328640,0.728566,0.399832
253403070464,0.728566,0.399832
254476812288,0.728566,0.399832
255550554112,0.728566,0.399832
256624295936,0.728566,0.399832
257698037760,0.728566,0.399832
258771779584,0.728566,0.399832
259845521408,0.728566,0.399832
260919263232,0.728566,0.399832
261993005056,0.728566,0.399832
263066746880,0.728566,0.399832
264140488704,0.728566,0.399832
265214230528,0.728566,0.399832
266287972352,0.728566,0.399832
267361714176,0.728566,0.399832
268435456000,0.728566,0.399832
269509197824,0.728566,0.399832
270582939648,0.728566,0.399832
271656681472,0.728566,0.399832
272730423296,0.728566,0.399832
273804165120,0.728566,0.399832
274877906944,0.728566,0.399832
275951648768,0.728566,0.399832
277025390592,0.728566,0.399832
278099132416,0.728566,0.399832
279172874240,0.728566,0.399832
280246616064,0.728566,0.399832
281320357888,0.728566,0.399832
282394099712,0.728566,0.399832
283467841536,0.728566,0.399832
284541583360,0.728566,0.399832
285615325184,0.728566,0.399832
286689067008,0.728566,0.399832
287762808832,0.728566,0.399832
288836550656,0.728566,0.399832
289910292480,0.728566,0.399832
290984034304,0.728566,0.399832
292057776128,0.728566,0.399832
293131517952,0.728566,0.399832
294205259776,0.728566,0.399832
295279001600,0.728566,0.399832
296352743424,0.728566,0.399832
297426485248,0.728566,0.399832
298500227072,0.728566,0.399832
299573968896,0.728566,0.399832
300647710720,0.728566,0.399832
301721452544,0.728566,0.399832
302795194368,0.728566,0.399832
303868936192,0.728566,0.399832
304942678016,0.728566,0.399832
306016419840,0.728566,0.399832
307090161664,0.728566,0.399832
308163903488,0.728566,0.399832
309237645312,0.728566,0.399832
310311387136,0.728566,0.399832
311385128960,0.728566,0.399832
312458870784,0.728566,0.399832
313532612608,0.728566,0.399832
314606354432,0.728566,0.399832
315680096256,0.728566,0.399832
316753838080,0.728566,0.399832
317827579904,0.728566,0.399832
318901321728,0.728566,0.399832
319975063552,0.728566,0.399832
321048805376,0.728566,0.399832
322122547200,0.728566,0.399832
323196289024,0.728566,0.399832
324270030848,0.728566,0.399832
325343772672,0.728566,0.399832
326417514496,0.728566,0.399832
327491256320,0.728566,0.399832
328564998144,0.728566,0.399832
329638739968,0.728566,0.399832
330712481792,0.728566,0.399832
331786223616,0.728566,0.399832
332859965440,0.728566,0.399832
333933707264,0.728566,0.399832
335007449088,0.728566,0.399832
336081190912,0.728566,0.399832
337154932736,0.728566,0.399832
338228674560,0.728566,0.399832
339302416384,0.728566,0.399832
340376158208,0.728566,0.399832
341449900032,0.728566,0.399832
342523641856,0.728566,0.399832
343597383680,0.728566,0.399832
344671125504,0.728566,0.399832
345744867328,0.728566,0.399832
346818609152,0.728566,0.399832
347892350976,0.728566,0.399832
348966092800,0.728566,0.399832
350039834624,0.728566,0.399832
351113576448,0.728566,0.399832
352187318272,0.728566,0.399832
353261060096,0.728566,0.399832
354334801920,0.728566,0.399832
355408543744,0.728566,0.399832
356482285568,0.728566,0.399832
357556027392,0.728566,0.399832
358629769216,0.728566,0.399832
359703511040,0.728566,0.399832
360777252864,0.728566,0.399832
361850994688,0.728566,0.399832
362924736512,0.728566,0.399832
363998478336,0.728566,0.399832
365072220160,0.728566,0.399832
366145961984,0.728566,0.399832
367219703808,0.728566,0.399832
368293445632,0.728566,0.399832
369367187456,0.728566,0.399832
370440929280,0.728566,0.399832
371514671104,0.728566,0.399832
372588412928,0.728566,0.399832
373662154752,0.728566,0.399832
374735896576,0.728566,0.399832
375809638400,0.728566,0.399832
376883380224,0.728566,0.399832
377957122048,0.728566,0.399832
379030863872,0.728566,0.399832
380104605696,0.728566,0.399832
381178347520,0.728566,0.399832
382252089344,0.728566,0.399832
383325831168,0.728566,0.399832
384399572992,0.728566,0.399832
385473314816,0.728566,0.399832
386547056640,0.728566,0.399832
387620798464,0.728566,0.399832
388694540288,0.728566,0.399832
389768282112,0.728566,0.399832
390842023936,0.728566,0.399832
391915765760,0.728566,0.399832
392989507584,0.728566,0.399832
394063249408,0.728566,0.399832
395136991232,0.728566,0.399832
396210733056,0.728566,0.399832
397284474880,0.728566,0.399832
398358216704,0.728566,0.399832
399431958528,0.728566,0.399832
400505700352,0.728566,0.399832
401579442176,0.728566,0.399832
402653184000,0.728566,0.399832
403726925824,0.728566,0.399832
404800667648,0.728566,0.399832
405874409472,0.728566,0.399832
406948151296,0.728566,0.399832
408021893120,0.728566,0.399832
409095634944,0.728566,0.399832
410169376768,0.728566,0.399832
411243118592,0.728566,0.399832
412316860416,0.728566,0.399832
413390602240,0.728566,0.399832
414464344064,0.728566,0.399832
415538085888,0.728566,0.399832
416611827712,0.728566,0.399832
417685569536,0.728566,0.399832
418759311360,0.728566,0.399832
419833053184,0.728566,0.399832
420906795008,0.728566,0.399832
421980536832,0.728566,0.399832
423054278656,0.728566,0.399832
424128020480,0.728566,0.399832
425201762304,0.728566,0.399832
426275504128,0.728566,0.399832
427349245952,0.728566,0.399832
428422987776,0.728566,0.399832
429496729600,0.728566,0.399832
430570471424,0.728566,0.399832
431644213248,0.728566,0.399832
432717955072,0.728566,0.399832
433791696896,0.728566,0.399832
434865438720,0.728566,0.399832
435939180544,0.728566,0.399832
437012922368,0.728566,0.399832
438086664192,0.728566,0.399832
439160406016,0.728566,0.399832
440234147840,0.728566,0.399832
441307889664,0.728566,0.399832
442381631488,0.728566,0.399832
443455373312,0.728566,0.399832
444529115136,0.728566,0.399832
445602856960,0.728566,0.399832
446676598784,0.728566,0.399832
447750340608,0.728566,0.399832
448824082432,0.728566,0.399832
449897824256,0.728566,0.399832
450971566080,0.728566,0.399832
452045307904,0.728566,0.399832
453119049728,0.728566,0.399832
454192791552,0.728566,0.399832
455266533376,0.728566,0.399832
456340275200,0.728566,0.399832
457414017024,0.728566,0.399832
458487758848,0.728566,0.399832
459561500672,0.728566,0.399832
460635242496,0.728566,0.399832
461708984320,0.728566,0.399832
462782726144,0.728566,0.399832
463856467968,0.728566,0.399832
464930209792,0.728566,0.399832
466003951616,0.728566,0.399832
467077693440,0.728566,0.399832
468151435264,0.728566,0.399832
469225177088,0.728566,0.399832
470298918912,0.728566,0.399832
471372660736,0.728566,0.399832
472446402560,0.728566,0.399832
473520144384,0.728566,0.399832
474593886208,0.728566,0.399832
475667628032,0.728566,0.399832
476741369856,0.728566,0.399832
477815111680,0.728566,0.399832
478888853504,0.728566,0.399832
479962595328,0.728566,0.399832
481036337152,0.728566,0.399832
482110078976,0.728566,0.399832
483183820800,0.728566,0.399832
484257562624,0.728566,0.399832
485331304448,0.728566,0.399832
486405046272,0.728566,0.399832
487478788096,0.728566,0.399832
488552529920,0.728566,0.399832
489626271744,0.728566,0.399832
490700013568,0.728566,0.399832
491773755392,0.728566,0.399832
492847497216,0.728566,0.399832
493921239040,0.728566,0.399832
494994980864,0.728566,0.399832
496068722688,0.728566,0.399832
497142464512,0.728566,0.399832
498216206336,0.728566,0.399832
499289948160,0.728566,0.399832
500363689984,0.728566,0.399832
501437431808,0.728566,0.399832
502511173632,0.728566,0.399832
503584915456,0.728566,0.399832
504658657280,0.728566,0.399832
505732399104,0.728566,0.399832
506806140928,0.728566,0.399832
507879882752,0.728566,0.399832
508953624576,0.728566,0.399832
510027366400,0.728566,0.399832
511101108224,0.728566,0.399832
512174850048,0.728566,0.399832
513248591872,0.728566,0.399832
514322333696,0.728566,0.399832
515396075520,0.728566,0.399832
516469817344,0.728566,0.399832
517543559168,0.728566,0.399832
518617300992,0.728566,0.399832
519691042816,0.728566,0.399832
520764784640,0.728566,0.399832
521838526464,0.728566,0.399832
522912268288,0.728566,0.399832
523986010112,0.728566,0.399832
525059751936,0.728566,0.399832
526133493760,0.728566,0.399832
527207235584,0.728566,0.399832
528280977408,0.728566,0.399832
529354719232,0.728566,0.399832
530428461056,0.728566,0.399832
531502202880,0.728566,0.399832
532575944704,0.728566,0.399832
533649686528,0.728566,0.399832
534723428352,0.728566,0.399832
535797170176,0.728566,0.399832
536870912000,0.728566,0.399832
537944653824,0.728566,0.399832
539018395648,0.728566,0.399832
540092137472,0.728566,0.399832
541165879296,0.728566,0.399832
542239621120,0.728566,0.399832
543313362944,0.728566,0.399832
544387104768,0.728566,0.399832
545460846592,0.728566,0.399832
546534588416,0.728566,0.399832
547608330240,0.728566,0.399832
548682072064,0.728566,0.399832
549755813888,0.728566,0.399832
550829555712,0.728566,0.399832
551903297536,0.728566,0.399832
552977039360,0.728566,0.399832
554050781184,0.728566,0.399832
555124523008,0.728566,0.399832
556198264832,0.728566,0.399832
557272006656,0.728566,0.399832
558345748480,0.728566,0.399832
559419490304,0.728566,0.399832
560493232128,0.728566,0.399832
561566973952,0.728566,0.399832
562640715776,0.728566,0.399832
563714457600,0.728566,0.399832
564788199424,0.728566,0.399832
565861941248,0.728566,0.399832
566935683072,0.728566,0.399832
568009424896,0.728566,0.399832
569083166720,0.728566,0.399832
570156908544,0.728566,0.399832
571230650368,0.728566,0.399832
572304392192,0.728566,0.399832
573378134016,0.728566,0.399832
574451875840,0.728566,0.399832
575525617664,0.728566,0.399832
576599359488,0.728566,0.399832
577673101312,0.728566,0.399832
578746843136,0.728566,0.399832
579820584960,0.728566,0.399832
580894326784,0.728566,0.399832
581968068608,0.728566,0.399832
583041810432,0.728566,0.399832
584115552256,0.728566,0.399832
585189294080,0.728566,0.399832
586263035904,0.728566,0.399832
587336777728,0.728566,0.399832
588410519552,0.728566,0.399832
589484261376,0.728566,0.399832
590558003200,0.728566,0.399832
591631745024,0.728566,0.399832
592705486848,0.728566,0.399832
593779228672,0.728566,0.399832
594852970496,0.728566,0.399832
595926712320,0.728566,0.399832
597000454144,0.728566,0.399832
598074195968,0.728566,0.399832
599147937792,0.728566,0.399832
600221679616,0.728566,0.399832
601295421440,0.728566,0.399832
602369163264,0.728566,0.399832
603442905088,0.728566,0.399832
604516646912,0.728566,0.399832
605590388736,0.728566,0.399832
606664130560,0.728566,0.399832
607737872384,0.728566,0.399832
608811614208,0.728566,0.399832
