logging to /opt/flows_res_1000/2016020600-2016020700_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
open file /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
[FILE]: /data1/tenant_trace/2016020600-2016020700_unique/tenant_2_trace
total_access_num: 33430153
total_access_size: 118714355294
unique_access_num: 20328540
unique_access_size: 72316768109
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.025345
cache_size, BMRC_ratio, OMRC_ratio
72316768, 0.968802, 0.969017
144633536, 0.957733, 0.958350
216950304, 0.949116, 0.949879
289267072, 0.942045, 0.943017
361583840, 0.935927, 0.937208
433900608, 0.930264, 0.931482
506217376, 0.925032, 0.926337
578534144, 0.920268, 0.921623
650850912, 0.915576, 0.917064
723167681, 0.911483, 0.912978
795484449, 0.907402, 0.908994
867801217, 0.903381, 0.905045
940117985, 0.899989, 0.901587
1012434753, 0.896717, 0.898363
1084751521, 0.893715, 0.895270
1157068289, 0.890467, 0.892015
1229385057, 0.887603, 0.889024
1301701825, 0.885008, 0.886290
1374018594, 0.882197, 0.883544
1446335362, 0.879591, 0.880881
1518652130, 0.876954, 0.878273
1590968898, 0.874311, 0.875647
1663285666, 0.871818, 0.873122
1735602434, 0.869415, 0.870645
1807919202, 0.867330, 0.868587
1880235970, 0.865299, 0.866577
1952552738, 0.863075, 0.864292
2024869507, 0.861038, 0.862162
2097186275, 0.859024, 0.860176
2169503043, 0.857023, 0.858177
2241819811, 0.854949, 0.856143
2314136579, 0.853002, 0.854181
2386453347, 0.851132, 0.852350
2458770115, 0.849346, 0.850585
2531086883, 0.847459, 0.848653
2603403651, 0.845829, 0.846960
2675720420, 0.843893, 0.845034
2748037188, 0.842191, 0.843257
2820353956, 0.840555, 0.841611
2892670724, 0.838883, 0.839912
2964987492, 0.837349, 0.838357
3037304260, 0.835875, 0.836903
3109621028, 0.834365, 0.835437
3181937796, 0.832783, 0.833912
3254254564, 0.831141, 0.832225
3326571333, 0.829727, 0.830777
3398888101, 0.828277, 0.829305
3471204869, 0.826731, 0.827756
3543521637, 0.825238, 0.826374
3615838405, 0.823980, 0.825159
3688155173, 0.822482, 0.823699
3760471941, 0.821056, 0.822282
3832788709, 0.819611, 0.820858
3905105477, 0.818329, 0.819518
3977422245, 0.816939, 0.818201
4049739014, 0.815596, 0.816855
4122055782, 0.814290, 0.815491
4194372550, 0.812726, 0.813948
4266689318, 0.811444, 0.812650
4339006086, 0.810335, 0.811519
4411322854, 0.809148, 0.810376
4483639622, 0.807974, 0.809287
4555956390, 0.806632, 0.807941
4628273158, 0.805523, 0.806823
4700589927, 0.804306, 0.805614
4772906695, 0.803378, 0.804585
4845223463, 0.802221, 0.803388
4917540231, 0.801178, 0.802270
4989856999, 0.800154, 0.801229
5062173767, 0.799027, 0.800038
5134490535, 0.797900, 0.798913
5206807303, 0.796816, 0.797837
5279124071, 0.795731, 0.796700
5351440840, 0.794718, 0.795623
5423757608, 0.793802, 0.794684
5496074376, 0.792723, 0.793619
5568391144, 0.791824, 0.792733
5640707912, 0.790769, 0.791704
5713024680, 0.789870, 0.790759
5785341448, 0.788984, 0.789916
5857658216, 0.788049, 0.788899
5929974984, 0.786970, 0.787804
6002291753, 0.786005, 0.786930
6074608521, 0.784927, 0.785871
6146925289, 0.783974, 0.784914
6219242057, 0.783093, 0.783981
6291558825, 0.782140, 0.783071
6363875593, 0.781277, 0.782192
6436192361, 0.780360, 0.781277
6508509129, 0.779467, 0.780325
6580825897, 0.778616, 0.779458
6653142666, 0.777802, 0.778686
6725459434, 0.776867, 0.777735
6797776202, 0.775956, 0.776784
6870092970, 0.775213, 0.776030
6942409738, 0.774308, 0.775103
7014726506, 0.773487, 0.774253
7087043274, 0.772672, 0.773392
7159360042, 0.771821, 0.772524
7231676810, 0.770964, 0.771705
7303993579, 0.770251, 0.770993
7376310347, 0.769526, 0.770197
7448627115, 0.768669, 0.769377
7520943883, 0.767818, 0.768510
7593260651, 0.766991, 0.767696
7665577419, 0.766170, 0.766865
7737894187, 0.765397, 0.766087
7810210955, 0.764702, 0.765387
7882527723, 0.763785, 0.764483
7954844491, 0.763006, 0.763712
8027161260, 0.762221, 0.762928
8099478028, 0.761604, 0.762288
8171794796, 0.760825, 0.761474
8244111564, 0.760088, 0.760720
8316428332, 0.759315, 0.759931
8388745100, 0.758458, 0.759099
8461061868, 0.757715, 0.758315
8533378636, 0.756935, 0.757520
8605695404, 0.756228, 0.756796
8678012173, 0.755581, 0.756108
8750328941, 0.754820, 0.755420
8822645709, 0.754149, 0.754768
8894962477, 0.753490, 0.754080
8967279245, 0.752855, 0.753404
9039596013, 0.752213, 0.752740
9111912781, 0.751446, 0.751986
9184229549, 0.750781, 0.751280
9256546317, 0.750110, 0.750604
9328863086, 0.749571, 0.749988
9401179854, 0.748858, 0.749347
9473496622, 0.748126, 0.748653
9545813390, 0.747479, 0.748025
9618130158, 0.746850, 0.747385
9690446926, 0.746275, 0.746793
9762763694, 0.745610, 0.746099
9835080462, 0.744974, 0.745489
9907397230, 0.744327, 0.744866
9979713999, 0.743572, 0.744089
10052030767, 0.743045, 0.743616
10124347535, 0.742476, 0.743054
10196664303, 0.741828, 0.742378
10268981071, 0.741157, 0.741672
10341297839, 0.740606, 0.741127
10413614607, 0.740090, 0.740571
10485931375, 0.739461, 0.739943
10558248143, 0.738934, 0.739398
10630564912, 0.738335, 0.738788
10702881680, 0.737795, 0.738220
10775198448, 0.737148, 0.737568
10847515216, 0.736555, 0.736981
10919831984, 0.736046, 0.736485
10992148752, 0.735446, 0.735904
11064465520, 0.734871, 0.735330
11136782288, 0.734302, 0.734762
11209099056, 0.733882, 0.734277
11281415825, 0.733385, 0.733763
11353732593, 0.732875, 0.733248
11426049361, 0.732258, 0.732680
11498366129, 0.731737, 0.732153
11570682897, 0.731162, 0.731645
11642999665, 0.730544, 0.730993
11715316433, 0.730029, 0.730448
11787633201, 0.729496, 0.729940
11859949969, 0.729022, 0.729485
11932266737, 0.728537, 0.728929
12004583506, 0.728135, 0.728498
12076900274, 0.727602, 0.727948
12149217042, 0.727165, 0.727511
12221533810, 0.726661, 0.727014
12293850578, 0.726242, 0.726554
12366167346, 0.725834, 0.726141
12438484114, 0.725367, 0.725674
12510800882, 0.724845, 0.725178
12583117650, 0.724198, 0.724567
12655434419, 0.723671, 0.724071
12727751187, 0.723114, 0.723485
12800067955, 0.722568, 0.722928
12872384723, 0.722017, 0.722366
12944701491, 0.721466, 0.721768
13017018259, 0.721058, 0.721373
13089335027, 0.720549, 0.720888
13161651795, 0.720057, 0.720386
13233968563, 0.719620, 0.719961
13306285332, 0.719129, 0.719470
13378602100, 0.718637, 0.718950
13450918868, 0.718122, 0.718381
13523235636, 0.717630, 0.717891
13595552404, 0.717217, 0.717490
13667869172, 0.716833, 0.717113
13740185940, 0.716396, 0.716646
13812502708, 0.715965, 0.716234
13884819476, 0.715599, 0.715845
13957136245, 0.715126, 0.715336
14029453013, 0.714562, 0.714756
14101769781, 0.714119, 0.714289
14174086549, 0.713651, 0.713811
14246403317, 0.713250, 0.713428
14318720085, 0.712771, 0.712967
14391036853, 0.712249, 0.712441
14463353621, 0.711836, 0.712028
14535670389, 0.711446, 0.711633
14607987158, 0.711045, 0.711262
14680303926, 0.710679, 0.710903
14752620694, 0.710218, 0.710442
14824937462, 0.709780, 0.710018
14897254230, 0.709247, 0.709521
14969570998, 0.708875, 0.709114
15041887766, 0.708426, 0.708672
15114204534, 0.708090, 0.708307
15186521302, 0.707707, 0.707936
15258838070, 0.707221, 0.707421
15331154839, 0.706850, 0.707062
15403471607, 0.706317, 0.706560
15475788375, 0.705909, 0.706165
15548105143, 0.705585, 0.705782
15620421911, 0.705172, 0.705357
15692738679, 0.704735, 0.704926
15765055447, 0.704405, 0.704591
15837372215, 0.703854, 0.704053
15909688983, 0.703410, 0.703580
15982005752, 0.703033, 0.703174
16054322520, 0.702679, 0.702803
16126639288, 0.702314, 0.702420
16198956056, 0.701954, 0.702073
16271272824, 0.701535, 0.701636
16343589592, 0.701109, 0.701181
16415906360, 0.700743, 0.700816
16488223128, 0.700330, 0.700428
16560539896, 0.699946, 0.700057
16632856665, 0.699611, 0.699722
16705173433, 0.699251, 0.699399
16777490201, 0.698862, 0.698998
16849806969, 0.698424, 0.698567
16922123737, 0.698071, 0.698250
16994440505, 0.697717, 0.697897
17066757273, 0.697316, 0.697514
17139074041, 0.696920, 0.697131
17211390809, 0.696561, 0.696754
17283707578, 0.696147, 0.696353
17356024346, 0.695728, 0.695905
17428341114, 0.695374, 0.695510
17500657882, 0.695099, 0.695211
17572974650, 0.694763, 0.694870
17645291418, 0.694403, 0.694553
17717608186, 0.694020, 0.694146
17789924954, 0.693708, 0.693799
17862241722, 0.693379, 0.693464
17934558491, 0.693019, 0.693129
18006875259, 0.692594, 0.692698
18079192027, 0.692276, 0.692405
18151508795, 0.691934, 0.692106
18223825563, 0.691701, 0.691884
18296142331, 0.691335, 0.691501
18368459099, 0.690934, 0.691083
18440775867, 0.690586, 0.690724
18513092635, 0.690310, 0.690425
18585409404, 0.690023, 0.690125
18657726172, 0.689717, 0.689808
18730042940, 0.689430, 0.689497
18802359708, 0.689094, 0.689162
18874676476, 0.688710, 0.688791
18946993244, 0.688345, 0.688402
19019310012, 0.688039, 0.688097
19091626780, 0.687734, 0.687810
19163943548, 0.687308, 0.687403
19236260316, 0.686895, 0.687015
19308577085, 0.686589, 0.686733
19380893853, 0.686295, 0.686440
19453210621, 0.685990, 0.686129
19525527389, 0.685726, 0.685830
19597844157, 0.685379, 0.685501
19670160925, 0.685103, 0.685244
19742477693, 0.684833, 0.684968
19814794461, 0.684510, 0.684645
19887111229, 0.684198, 0.684346
19959427998, 0.683910, 0.684035
20031744766, 0.683551, 0.683676
20104061534, 0.683275, 0.683395
20176378302, 0.682988, 0.683096
20248695070, 0.682634, 0.682707
20321011838, 0.682292, 0.682396
20393328606, 0.682047, 0.682133
20465645374, 0.681681, 0.681780
20537962142, 0.681328, 0.681421
20610278911, 0.681022, 0.681080
20682595679, 0.680722, 0.680817
