cache_size, BMRC_ratio, OMRC_ratio
359, 1.000000, 1.000000
718, 1.000000, 1.000000
1077, 1.000000, 1.000000
1436, 1.000000, 1.000000
1795, 1.000000, 1.000000
2154, 1.000000, 1.000000
2513, 1.000000, 1.000000
2872, 1.000000, 1.000000
3231, 0.991083, 0.991228
3590, 0.991083, 0.991228
3949, 0.991083, 0.991228
4308, 0.991083, 0.991228
4667, 0.991083, 0.991228
5026, 0.991083, 0.991228
5385, 0.991083, 0.991228
5744, 0.991083, 0.991228
6103, 0.991083, 0.991228
6462, 0.991083, 0.991228
6821, 0.991083, 0.991228
7180, 0.991083, 0.991228
7539, 0.991083, 0.991228
7898, 0.991083, 0.991228
8257, 0.991083, 0.991228
8616, 0.991083, 0.991228
8975, 0.991083, 0.991228
9334, 0.991083, 0.991228
9693, 0.991083, 0.991228
10052, 0.991083, 0.991228
10411, 0.991083, 0.991228
10770, 0.991083, 0.991228
11129, 0.991083, 0.991228
11488, 0.991083, 0.991228
11847, 0.991083, 0.991228
12206, 0.991083, 0.991228
12565, 0.991083, 0.991228
12924, 0.991083, 0.991228
13283, 0.991083, 0.991228
13642, 0.991083, 0.991228
14001, 0.991083, 0.991228
14360, 0.991083, 0.991228
14719, 0.991083, 0.991228
15078, 0.991083, 0.991228
15437, 0.991083, 0.991228
15796, 0.991083, 0.991228
16155, 0.991083, 0.991228
16514, 0.991083, 0.991228
16873, 0.991083, 0.991228
17232, 0.991083, 0.991228
17591, 0.991083, 0.991228
17950, 0.991083, 0.991228
18309, 0.991083, 0.991228
18668, 0.991083, 0.991228
19027, 0.991083, 0.991228
19386, 0.991083, 0.991228
19745, 0.991083, 0.991228
20104, 0.991083, 0.991228
20463, 0.991083, 0.991228
20822, 0.991083, 0.991228
21181, 0.991083, 0.991228
21540, 0.991083, 0.991228
21899, 0.991083, 0.991228
22258, 0.991083, 0.991228
22617, 0.991083, 0.991228
22976, 0.991083, 0.991228
23335, 0.991083, 0.991228
23694, 0.991083, 0.991228
24053, 0.991083, 0.991228
24412, 0.991083, 0.991228
24771, 0.991083, 0.991228
25130, 0.991083, 0.991228
25489, 0.991083, 0.991228
25848, 0.991083, 0.991228
26207, 0.991083, 0.991228
26566, 0.991083, 0.991228
26925, 0.991083, 0.991228
27284, 0.991083, 0.991228
27643, 0.991083, 0.991228
28002, 0.991083, 0.991228
28361, 0.991083, 0.991228
28720, 0.991083, 0.991228
29079, 0.991083, 0.991228
29438, 0.991083, 0.991228
29797, 0.991083, 0.991228
30156, 0.991083, 0.991228
30515, 0.991083, 0.991228
30874, 0.991083, 0.991228
31233, 0.991083, 0.991228
31592, 0.991083, 0.991228
31951, 0.991083, 0.991228
32310, 0.991083, 0.991228
32670, 0.991083, 0.991228
33029, 0.991083, 0.991228
33388, 0.991083, 0.991228
33747, 0.991083, 0.991228
34106, 0.991083, 0.991228
34465, 0.991083, 0.991228
34824, 0.991083, 0.991228
35183, 0.991083, 0.991228
35542, 0.991083, 0.991228
35901, 0.991083, 0.991228
36260, 0.991083, 0.991228
36619, 0.991083, 0.991228
36978, 0.991083, 0.991228
37337, 0.991083, 0.991228
37696, 0.991083, 0.991228
38055, 0.991083, 0.991228
38414, 0.991083, 0.991228
