logging to /opt/flows_res_1000/2016020800-2016020900_unique/tenant_1_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020800-2016020900_unique/tenant_1_trace
open file /data1/tenant_trace/2016020800-2016020900_unique/tenant_1_trace
[FILE]: /data1/tenant_trace/2016020800-2016020900_unique/tenant_1_trace
total_access_num: 404
total_access_size: 1232567
unique_access_num: 399
unique_access_size: 1221272
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.014128
cache_size, BMRC_ratio, OMRC_ratio
1221, 1.000000, 1.000000
2442, 1.000000, 1.000000
3663, 0.997142, 0.997525
4885, 0.997142, 0.997525
6106, 0.997142, 0.997525
7327, 0.997142, 0.997525
8548, 0.997142, 0.997525
9770, 0.995109, 0.995050
10991, 0.995109, 0.995050
12212, 0.995109, 0.995050
13433, 0.995109, 0.995050
14655, 0.995109, 0.995050
15876, 0.995109, 0.995050
17097, 0.995109, 0.995050
18319, 0.995109, 0.995050
19540, 0.995109, 0.995050
20761, 0.995109, 0.995050
21982, 0.995109, 0.995050
23204, 0.995109, 0.992574
24425, 0.995109, 0.992574
25646, 0.995109, 0.992574
26867, 0.995109, 0.992574
28089, 0.995109, 0.992574
29310, 0.995109, 0.992574
30531, 0.995109, 0.992574
31753, 0.995109, 0.992574
32974, 0.995109, 0.992574
34195, 0.995109, 0.992574
35416, 0.995109, 0.992574
36638, 0.995109, 0.992574
37859, 0.995109, 0.992574
39080, 0.995109, 0.992574
40301, 0.995109, 0.992574
41523, 0.995109, 0.992574
42744, 0.995109, 0.992574
43965, 0.995109, 0.992574
45187, 0.995109, 0.992574
46408, 0.995109, 0.992574
47629, 0.995109, 0.992574
48850, 0.995109, 0.992574
50072, 0.995109, 0.992574
51293, 0.995109, 0.992574
52514, 0.995109, 0.992574
53735, 0.995109, 0.992574
54957, 0.995109, 0.992574
56178, 0.995109, 0.992574
57399, 0.995109, 0.992574
58621, 0.995109, 0.992574
59842, 0.995109, 0.992574
61063, 0.995109, 0.992574
62284, 0.995109, 0.992574
63506, 0.995109, 0.992574
64727, 0.995109, 0.992574
65948, 0.995109, 0.992574
67169, 0.995109, 0.992574
68391, 0.995109, 0.992574
69612, 0.995109, 0.992574
70833, 0.995109, 0.992574
72055, 0.995109, 0.992574
73276, 0.995109, 0.992574
74497, 0.995109, 0.992574
75718, 0.995109, 0.992574
76940, 0.995109, 0.992574
78161, 0.995109, 0.992574
79382, 0.995109, 0.992574
80603, 0.995109, 0.992574
81825, 0.995109, 0.992574
83046, 0.995109, 0.992574
84267, 0.995109, 0.992574
85489, 0.995109, 0.992574
86710, 0.995109, 0.992574
87931, 0.995109, 0.992574
89152, 0.995109, 0.992574
90374, 0.995109, 0.992574
91595, 0.995109, 0.992574
92816, 0.995109, 0.992574
94037, 0.995109, 0.992574
95259, 0.995109, 0.992574
96480, 0.995109, 0.992574
97701, 0.993043, 0.990099
98923, 0.993043, 0.990099
100144, 0.993043, 0.990099
101365, 0.993043, 0.990099
102586, 0.993043, 0.990099
103808, 0.993043, 0.990099
105029, 0.993043, 0.990099
106250, 0.993043, 0.990099
107471, 0.993043, 0.990099
108693, 0.993043, 0.990099
109914, 0.993043, 0.990099
111135, 0.993043, 0.990099
112357, 0.993043, 0.990099
113578, 0.993043, 0.990099
114799, 0.993043, 0.990099
116020, 0.993043, 0.990099
117242, 0.993043, 0.990099
118463, 0.993043, 0.990099
119684, 0.993043, 0.990099
120905, 0.993043, 0.990099
122127, 0.993043, 0.990099
123348, 0.993043, 0.990099
124569, 0.993043, 0.990099
125791, 0.993043, 0.990099
127012, 0.993043, 0.990099
128233, 0.990836, 0.987624
129454, 0.990836, 0.987624
130676, 0.990836, 0.987624
131897, 0.990836, 0.987624
133118, 0.990836, 0.987624
134339, 0.990836, 0.987624
135561, 0.990836, 0.987624
136782, 0.990836, 0.987624
138003, 0.990836, 0.987624
