logging to /opt/flows_res_1000/2016020800-2016020900_unique/tenant_2_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
open file /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
read 37000000 lines
read 38000000 lines
read 39000000 lines
read 40000000 lines
read 41000000 lines
read 42000000 lines
read 43000000 lines
read 44000000 lines
read 45000000 lines
read 46000000 lines
[FILE]: /data1/tenant_trace/2016020800-2016020900_unique/tenant_2_trace
total_access_num: 46389077
total_access_size: 162654038863
unique_access_num: 28509103
unique_access_size: 100320285024
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.025681
cache_size, BMRC_ratio, OMRC_ratio
100320285, 0.965829, 0.964322
200640570, 0.957130, 0.955833
300960855, 0.950594, 0.949564
401281140, 0.945010, 0.944097
501601425, 0.940251, 0.939238
601921710, 0.935593, 0.934698
702241995, 0.931474, 0.930508
802562280, 0.927642, 0.926753
902882565, 0.924012, 0.923114
1003202850, 0.920586, 0.919717
1103523135, 0.917411, 0.916487
1203843420, 0.914318, 0.913297
1304163705, 0.911546, 0.910460
1404483990, 0.908795, 0.907696
1504804275, 0.906061, 0.904881
1605124560, 0.903132, 0.902018
1705444845, 0.900498, 0.899483
1805765130, 0.897816, 0.896866
1906085415, 0.895428, 0.894413
2006405700, 0.893088, 0.892063
2106725985, 0.890752, 0.889744
2207046270, 0.888706, 0.887731
2307366555, 0.886586, 0.885592
2407686840, 0.884549, 0.883540
2508007125, 0.882343, 0.881389
2608327410, 0.880439, 0.879492
2708647695, 0.878393, 0.877435
2808967980, 0.876403, 0.875486
2909288265, 0.874638, 0.873693
3009608550, 0.872813, 0.871787
3109928835, 0.870996, 0.870002
3210249120, 0.869348, 0.868334
3310569405, 0.867735, 0.866704
3410889690, 0.866039, 0.864923
3511209975, 0.864546, 0.863440
3611530260, 0.862994, 0.861901
3711850545, 0.861367, 0.860233
3812170830, 0.859862, 0.858763
3912491115, 0.858240, 0.857111
4012811400, 0.856604, 0.855486
4113131685, 0.855069, 0.853990
4213451971, 0.853477, 0.852369
4313772256, 0.851911, 0.850817
4414092541, 0.850466, 0.849381
4514412826, 0.848896, 0.847850
4614733111, 0.847512, 0.846462
4715053396, 0.846101, 0.845031
4815373681, 0.844851, 0.843781
4915693966, 0.843571, 0.842405
5016014251, 0.842256, 0.841138
5116334536, 0.840876, 0.839736
5216654821, 0.839310, 0.838189
5316975106, 0.837960, 0.836822
5417295391, 0.836645, 0.835563
5517615676, 0.835374, 0.834283
5617935961, 0.834128, 0.832985
5718256246, 0.832947, 0.831743
5818576531, 0.831822, 0.830579
5918896816, 0.830758, 0.829488
6019217101, 0.829677, 0.828428
6119537386, 0.828409, 0.827169
6219857671, 0.827094, 0.825884
6320177956, 0.825840, 0.824686
6420498241, 0.824711, 0.823595
6520818526, 0.823530, 0.822396
6621138811, 0.822349, 0.821219
6721459096, 0.821181, 0.819978
6821779381, 0.820169, 0.818990
6922099666, 0.819092, 0.817955
7022419951, 0.817971, 0.816891
7122740236, 0.816808, 0.815722
7223060521, 0.815847, 0.814787
7323380806, 0.814740, 0.813661
7423701091, 0.813576, 0.812493
7524021376, 0.812521, 0.811411
7624341661, 0.811444, 0.810367
7724661946, 0.810362, 0.809324
7824982231, 0.809311, 0.808341
7925302516, 0.808294, 0.807285
8025622801, 0.807226, 0.806181
8125943086, 0.806196, 0.805112
8226263371, 0.805145, 0.804107
8326583656, 0.804073, 0.803051
8426903942, 0.803177, 0.802146
8527224227, 0.802247, 0.801193
8627544512, 0.801369, 0.800305
8727864797, 0.800374, 0.799305
8828185082, 0.799435, 0.798352
8928505367, 0.798492, 0.797390
9028825652, 0.797640, 0.796532
9129145937, 0.796753, 0.795614
9229466222, 0.795793, 0.794674
9329786507, 0.794872, 0.793773
9430106792, 0.793963, 0.792885
9530427077, 0.793150, 0.792031
9630747362, 0.792311, 0.791173
9731067647, 0.791394, 0.790289
9831387932, 0.790529, 0.789393
9931708217, 0.789776, 0.788617
10032028502, 0.788889, 0.787724
10132348787, 0.787955, 0.786845
10232669072, 0.787163, 0.786069
10332989357, 0.786341, 0.785241
10433309642, 0.785610, 0.784538
10533629927, 0.784797, 0.783728
10633950212, 0.783992, 0.782926
10734270497, 0.783184, 0.782141
10834590782, 0.782375, 0.781343
10934911067, 0.781488, 0.780533
11035231352, 0.780631, 0.779679
11135551637, 0.779840, 0.778886
11235871922, 0.778979, 0.777989
11336192207, 0.778101, 0.777110
11436512492, 0.777339, 0.776351
11536832777, 0.776643, 0.775639
11637153062, 0.775847, 0.774846
11737473347, 0.775133, 0.774199
11837793632, 0.774342, 0.773389
11938113917, 0.773589, 0.772665
12038434202, 0.772784, 0.771884
12138754487, 0.772019, 0.771177
12239074772, 0.771275, 0.770414
12339395057, 0.770492, 0.769673
12439715342, 0.769748, 0.768922
12540035628, 0.769047, 0.768220
12640355913, 0.768333, 0.767495
12740676198, 0.767624, 0.766801
12840996483, 0.766914, 0.766086
12941316768, 0.766140, 0.765284
13041637053, 0.765418, 0.764598
13141957338, 0.764717, 0.763908
13242277623, 0.763960, 0.763184
13342597908, 0.763268, 0.762451
13442918193, 0.762675, 0.761843
13543238478, 0.762018, 0.761188
13643558763, 0.761416, 0.760619
13743879048, 0.760724, 0.759929
13844199333, 0.760015, 0.759222
13944519618, 0.759314, 0.758510
14044839903, 0.758665, 0.757847
14145160188, 0.758012, 0.757195
14245480473, 0.757324, 0.756497
14345800758, 0.756654, 0.755846
14446121043, 0.755962, 0.755113
14546441328, 0.755399, 0.754544
14646761613, 0.754833, 0.753949
14747081898, 0.754179, 0.753289
14847402183, 0.753556, 0.752673
14947722468, 0.752886, 0.751970
15048042753, 0.752224, 0.751332
15148363038, 0.751588, 0.750694
15248683323, 0.750996, 0.750121
15349003608, 0.750329, 0.749452
15449323893, 0.749750, 0.748857
15549644178, 0.749144, 0.748224
15649964463, 0.748556, 0.747629
15750284748, 0.747877, 0.746956
15850605033, 0.747310, 0.746370
15950925318, 0.746774, 0.745822
16051245603, 0.746220, 0.745262
16151565888, 0.745606, 0.744649
16251886173, 0.745017, 0.744050
16352206458, 0.744421, 0.743464
16452526743, 0.743875, 0.742882
16552847028, 0.743266, 0.742326
16653167313, 0.742630, 0.741705
16753487599, 0.742098, 0.741144
16853807884, 0.741483, 0.740536
16954128169, 0.740930, 0.739985
17054448454, 0.740238, 0.739342
17154768739, 0.739645, 0.738795
17255089024, 0.739108, 0.738243
17355409309, 0.738486, 0.737635
17455729594, 0.737811, 0.736919
17556049879, 0.737214, 0.736359
17656370164, 0.736695, 0.735815
17756690449, 0.736163, 0.735294
17857010734, 0.735652, 0.734751
17957331019, 0.735107, 0.734194
18057651304, 0.734610, 0.733681
18157971589, 0.734052, 0.733104
18258291874, 0.733489, 0.732573
18358612159, 0.732949, 0.732013
18458932444, 0.732477, 0.731530
18559252729, 0.731949, 0.731021
18659573014, 0.731439, 0.730538
18759893299, 0.730868, 0.729943
18860213584, 0.730427, 0.729534
18960533869, 0.729960, 0.729055
19060854154, 0.729384, 0.728482
19161174439, 0.728792, 0.727913
19261494724, 0.728324, 0.727413
19361815009, 0.727857, 0.726943
19462135294, 0.727273, 0.726382
19562455579, 0.726802, 0.725917
19662775864, 0.726348, 0.725447
19763096149, 0.725898, 0.725003
19863416434, 0.725379, 0.724502
19963736719, 0.724929, 0.724050
20064057004, 0.724405, 0.723558
20164377289, 0.723999, 0.723131
20264697574, 0.723514, 0.722649
20365017859, 0.723047, 0.722174
20465338144, 0.722610, 0.721726
20565658429, 0.722208, 0.721308
20665978714, 0.721749, 0.720872
20766298999, 0.721295, 0.720407
20866619284, 0.720828, 0.719941
20966939570, 0.720443, 0.719557
21067259855, 0.720002, 0.719113
21167580140, 0.719625, 0.718734
21267900425, 0.719210, 0.718298
21368220710, 0.718769, 0.717828
21468540995, 0.718310, 0.717371
21568861280, 0.717869, 0.716927
21669181565, 0.717350, 0.716397
21769501850, 0.716943, 0.715992
21869822135, 0.716498, 0.715539
21970142420, 0.716048, 0.715134
22070462705, 0.715576, 0.714660
22170782990, 0.715101, 0.714207
22271103275, 0.714594, 0.713707
22371423560, 0.714197, 0.713302
22471743845, 0.713742, 0.712827
22572064130, 0.713323, 0.712392
22672384415, 0.712912, 0.711987
22772704700, 0.712432, 0.711508
22873024985, 0.711908, 0.710986
22973345270, 0.711532, 0.710628
23073665555, 0.711104, 0.710197
23173985840, 0.710658, 0.709745
23274306125, 0.710256, 0.709348
23374626410, 0.709732, 0.708822
23474946695, 0.709326, 0.708460
23575266980, 0.708962, 0.708085
23675587265, 0.708543, 0.707658
23775907550, 0.708210, 0.707360
23876227835, 0.707799, 0.706929
23976548120, 0.707422, 0.706528
24076868405, 0.707055, 0.706123
24177188690, 0.706700, 0.705757
24277508975, 0.706263, 0.705308
24377829260, 0.705848, 0.704916
24478149545, 0.705471, 0.704537
24578469830, 0.705061, 0.704127
24678790115, 0.704714, 0.703791
24779110400, 0.704291, 0.703377
24879430685, 0.703901, 0.702997
24979750970, 0.703503, 0.702596
25080071256, 0.703105, 0.702178
25180391541, 0.702720, 0.701829
25280711826, 0.702331, 0.701450
25381032111, 0.701946, 0.701036
25481352396, 0.701587, 0.700686
25581672681, 0.701172, 0.700290
25681992966, 0.700774, 0.699898
25782313251, 0.700389, 0.699544
25882633536, 0.700056, 0.699216
25982953821, 0.699684, 0.698815
26083274106, 0.699316, 0.698475
26183594391, 0.698931, 0.698095
26283914676, 0.698572, 0.697694
26384234961, 0.698235, 0.697328
26484555246, 0.697811, 0.696871
26584875531, 0.697395, 0.696470
26685195816, 0.697106, 0.696198
26785516101, 0.696733, 0.695819
26885836386, 0.696374, 0.695448
26986156671, 0.696020, 0.695103
27086476956, 0.695617, 0.694702
27186797241, 0.695245, 0.694336
27287117526, 0.694899, 0.693944
27387437811, 0.694566, 0.693616
27487758096, 0.694155, 0.693241
27588078381, 0.693822, 0.692900
27688398666, 0.693476, 0.692525
27788718951, 0.693126, 0.692159
27889039236, 0.692736, 0.691766
27989359521, 0.692369, 0.691404
28089679806, 0.692070, 0.691107
28190000091, 0.691672, 0.690671
28290320376, 0.691357, 0.690365
28390640661, 0.691019, 0.690033
28490960946, 0.690656, 0.689649
28591281231, 0.690314, 0.689335
28691601516, 0.689955, 0.688985
28791921801, 0.689657, 0.688666
28892242086, 0.689289, 0.688283
28992562371, 0.688973, 0.687972
29092882656, 0.688709, 0.687683
29193202941, 0.688342, 0.687317
29293523227, 0.687987, 0.686963
29393843512, 0.687598, 0.686631
29494163797, 0.687377, 0.686420
29594484082, 0.687052, 0.686110
29694804367, 0.686711, 0.685735
29795124652, 0.686378, 0.685411
29895444937, 0.686036, 0.685054
29995765222, 0.685781, 0.684782
30096085507, 0.685521, 0.684502
30196405792, 0.685240, 0.684213
30296726077, 0.684920, 0.683915
30397046362, 0.684634, 0.683601
30497366647, 0.684396, 0.683351
30597686932, 0.684146, 0.683057
30698007217, 0.683782, 0.682747
30798327502, 0.683492, 0.682419
30898647787, 0.683250, 0.682135
30998968072, 0.683008, 0.681867
31099288357, 0.682679, 0.681531
31199608642, 0.682372, 0.681229
31299928927, 0.682156, 0.681005
31400249212, 0.681836, 0.680686
31500569497, 0.681611, 0.680479
31600889782, 0.681334, 0.680203
31701210067, 0.681048, 0.679914
31801530352, 0.680789, 0.679682
31901850637, 0.680495, 0.679414
32002170922, 0.680205, 0.679091
32102491207, 0.679898, 0.678768
32202811492, 0.679582, 0.678466
32303131777, 0.679335, 0.678224
32403452062, 0.679102, 0.677974
32503772347, 0.678842, 0.677729
32604092632, 0.678574, 0.677478
32704412917, 0.678258, 0.677164
32804733202, 0.677981, 0.676883
32905053487, 0.677743, 0.676629
33005373772, 0.677406, 0.676301
33105694057, 0.677147, 0.676056
33206014342, 0.676909, 0.675840
33306334627, 0.676627, 0.675547
33406654912, 0.676390, 0.675306
33506975198, 0.676074, 0.674991
33607295483, 0.675836, 0.674775
33707615768, 0.675546, 0.674465
33807936053, 0.675260, 0.674176
33908256338, 0.674997, 0.673904
34008576623, 0.674759, 0.673702
34108896908, 0.674473, 0.673413
34209217193, 0.674227, 0.673171
34309537478, 0.673980, 0.672908
34409857763, 0.673699, 0.672645
34510178048, 0.673444, 0.672408
34610498333, 0.673171, 0.672128
34710818618, 0.672929, 0.671848
34811138903, 0.672730, 0.671649
34911459188, 0.672488, 0.671412
35011779473, 0.672271, 0.671210
35112099758, 0.672042, 0.670998
35212420043, 0.671843, 0.670796
35312740328, 0.671592, 0.670576
35413060613, 0.671272, 0.670291
35513380898, 0.670991, 0.669998
35613701183, 0.670744, 0.669748
35714021468, 0.670545, 0.669528
35814341753, 0.670269, 0.669270
35914662038, 0.670026, 0.669028
36014982323, 0.669745, 0.668735
36115302608, 0.669464, 0.668450
36215622893, 0.669200, 0.668166
36315943178, 0.669027, 0.667950
36416263463, 0.668789, 0.667679
36516583748, 0.668612, 0.667485
36616904033, 0.668387, 0.667261
36717224318, 0.668162, 0.667023
36817544603, 0.667967, 0.666842
36917864888, 0.667734, 0.666588
37018185173, 0.667500, 0.666351
37118505458, 0.667228, 0.666062
37218825743, 0.666942, 0.665790
37319146028, 0.666713, 0.665566
37419466313, 0.666449, 0.665290
37519786598, 0.666250, 0.665079
37620106884, 0.666012, 0.664825
37720427169, 0.665817, 0.664587
37820747454, 0.665571, 0.664350
37921067739, 0.665359, 0.664092
38021388024, 0.665169, 0.663911
38121708309, 0.664939, 0.663678
38222028594, 0.664675, 0.663432
38322348879, 0.664463, 0.663182
38422669164, 0.664204, 0.662932
38522989449, 0.663953, 0.662699
38623309734, 0.663719, 0.662475
38723630019, 0.663477, 0.662259
38823950304, 0.663295, 0.662070
38924270589, 0.663109, 0.661880
39024590874, 0.662949, 0.661707
39124911159, 0.662703, 0.661470
39225231444, 0.662448, 0.661225
39325551729, 0.662192, 0.660953
39425872014, 0.662037, 0.660772
39526192299, 0.661768, 0.660500
39626512584, 0.661626, 0.660345
