logging to /opt/profile_res/2016020100-2016020200_unique/tenant_2_profile_res-FIX_RATE-REAL-0.01.csvtracefile: /data1/tmp/tenant_2_trace
open file /data1/tmp/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
[FILE]: /data1/tmp/tenant_2_trace
total_access_num: 14900026
total_access_size: 52660956054
unique_access_num: 10406022
unique_access_size: 36715945725
min_item_size: 1
[method]: REAL
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.278544
cache_size, BMRC_ratio, OMRC_ratio
367159457, 0.931386, 0.932337
734318914, 0.909243, 0.910675
1101478371, 0.892934, 0.894595
1468637829, 0.879854, 0.881575
1835797286, 0.868757, 0.870496
2202956743, 0.858988, 0.860782
2570116200, 0.850365, 0.852175
2937275658, 0.842575, 0.844373
3304435115, 0.835431, 0.837216
3671594572, 0.828916, 0.830695
4038754029, 0.822851, 0.824635
4405913487, 0.817180, 0.818921
4773072944, 0.811916, 0.813636
5140232401, 0.806902, 0.808620
5507391858, 0.802214, 0.803902
5874551316, 0.797775, 0.799455
6241710773, 0.793574, 0.795260
6608870230, 0.789597, 0.791264
6976029687, 0.785848, 0.787470
7343189145, 0.782209, 0.783797
7710348602, 0.778772, 0.780372
8077508059, 0.775499, 0.777083
8444667516, 0.772402, 0.773968
8811826974, 0.769401, 0.770936
9178986431, 0.766509, 0.768034
9546145888, 0.763710, 0.765225
9913305345, 0.761036, 0.762533
10280464803, 0.758477, 0.759960
10647624260, 0.755993, 0.757442
11014783717, 0.753634, 0.755069
11381943174, 0.751378, 0.752781
11749102632, 0.749178, 0.750571
12116262089, 0.747056, 0.748460
12483421546, 0.745020, 0.746410
12850581003, 0.743042, 0.744429
13217740461, 0.741157, 0.742524
13584899918, 0.739361, 0.740714
13952059375, 0.737614, 0.738962
14319218832, 0.735944, 0.737283
14686378290, 0.734209, 0.735544
15053537747, 0.732611, 0.733931
15420697204, 0.731101, 0.732407
15787856661, 0.729616, 0.730923
16155016119, 0.728189, 0.729492
16522175576, 0.726788, 0.728081
16889335033, 0.725441, 0.726718
17256494490, 0.724131, 0.725403
17623653948, 0.722871, 0.724128
17990813405, 0.721631, 0.722882
18357972862, 0.720460, 0.721714
18725132319, 0.719372, 0.720608
19092291777, 0.718294, 0.719521
19459451234, 0.717267, 0.718484
19826610691, 0.716248, 0.717452
20193770148, 0.715242, 0.716459
20560929606, 0.714309, 0.715520
20928089063, 0.713381, 0.714602
21295248520, 0.712509, 0.713727
21662407977, 0.711682, 0.712888
22029567435, 0.710864, 0.712052
22396726892, 0.710096, 0.711291
22763886349, 0.709358, 0.710553
23131045806, 0.708639, 0.709831
23498205264, 0.707924, 0.709115
23865364721, 0.707238, 0.708427
24232524178, 0.706613, 0.707798
24599683635, 0.706016, 0.707195
24966843093, 0.705416, 0.706597
25334002550, 0.704865, 0.706041
25701162007, 0.704327, 0.705502
26068321464, 0.703804, 0.704985
26435480922, 0.703313, 0.704494
26802640379, 0.702831, 0.704011
27169799836, 0.702407, 0.703579
27536959293, 0.701986, 0.703155
27904118751, 0.701575, 0.702741
28271278208, 0.701181, 0.702350
28638437665, 0.700810, 0.701979
29005597122, 0.700454, 0.701629
29372756580, 0.700141, 0.701313
29739916037, 0.699843, 0.701010
30107075494, 0.699548, 0.700715
30474234951, 0.699289, 0.700450
30841394409, 0.699031, 0.700196
31208553866, 0.698816, 0.699981
31575713323, 0.698591, 0.699756
31942872780, 0.698394, 0.699561
32310032238, 0.698211, 0.699382
32677191695, 0.698054, 0.699223
33044351152, 0.697918, 0.699085
33411510609, 0.697775, 0.698945
33778670067, 0.697632, 0.698810
34145829524, 0.697522, 0.698699
34512988981, 0.697439, 0.698616
34880148438, 0.697377, 0.698553
35247307896, 0.697318, 0.698496
35614467353, 0.697276, 0.698453
35981626810, 0.697237, 0.698412
36348786267, 0.697219, 0.698395
36715945725, 0.697214, 0.698390
Time used: 19596 ms
