logging to /opt/profile_res/2016020100-2016020200_unique/tenant_5_profile_res-FIX_RATE-REAL-0.01.csvtracefile: /data1/tmp/tenant_5_trace
open file /data1/tmp/tenant_5_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
read 37000000 lines
read 38000000 lines
read 39000000 lines
read 40000000 lines
read 41000000 lines
read 42000000 lines
read 43000000 lines
read 44000000 lines
read 45000000 lines
read 46000000 lines
read 47000000 lines
read 48000000 lines
read 49000000 lines
read 50000000 lines
read 51000000 lines
read 52000000 lines
read 53000000 lines
read 54000000 lines
read 55000000 lines
read 56000000 lines
read 57000000 lines
read 58000000 lines
read 59000000 lines
read 60000000 lines
[FILE]: /data1/tmp/tenant_5_trace
total_access_num: 60845825
total_access_size: 2329909163788
unique_access_num: 20185033
unique_access_size: 782331727204
min_item_size: 1
[method]: REAL
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.318667
cache_size, BMRC_ratio, OMRC_ratio
7823317272, 0.752111, 0.764359
15646634544, 0.686554, 0.695238
23469951816, 0.642300, 0.648465
31293269088, 0.608586, 0.613053
39116586360, 0.581634, 0.584785
46939903632, 0.559239, 0.561378
54763220904, 0.540257, 0.541617
62586538176, 0.523926, 0.524558
70409855448, 0.509607, 0.509696
78233172720, 0.496912, 0.496558
86056489992, 0.485713, 0.484948
93879807264, 0.475562, 0.474458
101703124536, 0.466364, 0.464995
109526441808, 0.458043, 0.456428
117349759080, 0.450429, 0.448588
125173076352, 0.443460, 0.441456
132996393624, 0.437047, 0.434901
140819710896, 0.431101, 0.428797
148643028168, 0.425633, 0.423182
156466345440, 0.420572, 0.418001
164289662712, 0.415820, 0.413131
172112979984, 0.411386, 0.408594
179936297256, 0.407267, 0.404380
187759614528, 0.403436, 0.400455
195582931801, 0.399812, 0.396750
203406249073, 0.396412, 0.393287
211229566345, 0.393197, 0.390006
219052883617, 0.390176, 0.386915
226876200889, 0.387368, 0.384035
234699518161, 0.384690, 0.381297
242522835433, 0.382134, 0.378688
250346152705, 0.379744, 0.376252
258169469977, 0.377463, 0.373934
265992787249, 0.375338, 0.371755
273816104521, 0.373325, 0.369691
281639421793, 0.371380, 0.367707
289462739065, 0.369563, 0.365853
297286056337, 0.367799, 0.364066
305109373609, 0.366172, 0.362406
312932690881, 0.364599, 0.360801
320756008153, 0.363084, 0.359273
328579325425, 0.361646, 0.357824
336402642697, 0.360301, 0.356458
344225959969, 0.359007, 0.355156
352049277241, 0.357790, 0.353915
359872594513, 0.356600, 0.352710
367695911785, 0.355477, 0.351576
375519229057, 0.354390, 0.350487
383342546329, 0.353389, 0.349470
391165863602, 0.352415, 0.348484
398989180874, 0.351488, 0.347549
406812498146, 0.350608, 0.346659
414635815418, 0.349788, 0.345822
422459132690, 0.348997, 0.345020
430282449962, 0.348221, 0.344240
438105767234, 0.347487, 0.343498
445929084506, 0.346794, 0.342801
453752401778, 0.346119, 0.342126
461575719050, 0.345476, 0.341481
469399036322, 0.344881, 0.340879
477222353594, 0.344293, 0.340291
485045670866, 0.343760, 0.339752
492868988138, 0.343229, 0.339216
500692305410, 0.342726, 0.338711
508515622682, 0.342242, 0.338227
516338939954, 0.341796, 0.337777
524162257226, 0.341376, 0.337353
531985574498, 0.340980, 0.336955
539808891770, 0.340586, 0.336560
547632209042, 0.340209, 0.336186
555455526314, 0.339868, 0.335847
563278843586, 0.339549, 0.335521
571102160858, 0.339233, 0.335207
578925478130, 0.338931, 0.334908
586748795403, 0.338656, 0.334633
594572112675, 0.338406, 0.334377
602395429947, 0.338167, 0.334134
610218747219, 0.337940, 0.333910
618042064491, 0.337724, 0.333694
625865381763, 0.337525, 0.333493
633688699035, 0.337331, 0.333303
641512016307, 0.337151, 0.333122
649335333579, 0.336983, 0.332951
657158650851, 0.336835, 0.332799
664981968123, 0.336701, 0.332664
672805285395, 0.336574, 0.332535
680628602667, 0.336460, 0.332419
688451919939, 0.336352, 0.332313
696275237211, 0.336250, 0.332213
704098554483, 0.336166, 0.332128
711921871755, 0.336091, 0.332055
719745189027, 0.336020, 0.331984
727568506299, 0.335961, 0.331926
735391823571, 0.335909, 0.331873
743215140843, 0.335867, 0.331830
751038458115, 0.335833, 0.331796
758861775387, 0.335807, 0.331771
766685092659, 0.335789, 0.331752
774508409931, 0.335781, 0.331744
782331727204, 0.335778, 0.331741
Time used: 175892 ms
