cache_size, BMRC_ratio, OMRC_ratio
11984069560, 0.656671, 0.659589
23968139121, 0.578968, 0.578897
35952208682, 0.53123, 0.529642
47936278243, 0.497648, 0.495101
59920347804, 0.472257, 0.469059
71904417364, 0.452159, 0.448508
83888486925, 0.435791, 0.431769
95872556486, 0.422154, 0.417857
107856626047, 0.410531, 0.406015
119840695608, 0.400511, 0.395813
131824765168, 0.391773, 0.386935
143808834729, 0.384024, 0.379076
155792904290, 0.377139, 0.372088
167776973851, 0.370955, 0.365825
179761043412, 0.365386, 0.360191
191745112972, 0.36033, 0.35508
203729182533, 0.35571, 0.350416
215713252094, 0.351474, 0.34614
227697321655, 0.347575, 0.342218
239681391216, 0.343996, 0.338614
251665460777, 0.340675, 0.335274
263649530337, 0.337579, 0.332168
275633599898, 0.334692, 0.329259
287617669459, 0.332006, 0.326564
299601739020, 0.329491, 0.324038
311585808581, 0.327118, 0.321655
323569878141, 0.324898, 0.319429
335553947702, 0.3228, 0.317327
347538017263, 0.320835, 0.315361
359522086824, 0.318974, 0.313498
371506156385, 0.317224, 0.311746
383490225945, 0.31555, 0.310076
395474295506, 0.313968, 0.308504
407458365067, 0.312483, 0.307018
419442434628, 0.311078, 0.305613
431426504189, 0.309747, 0.304284
443410573749, 0.308485, 0.303027
455394643310, 0.307287, 0.301832
467378712871, 0.30614, 0.300695
479362782432, 0.305055, 0.299619
491346851993, 0.304028, 0.298593
503330921554, 0.303041, 0.29761
515314991114, 0.302097, 0.296674
527299060675, 0.301195, 0.295784
539283130236, 0.300347, 0.294942
551267199797, 0.299519, 0.294124
563251269358, 0.298734, 0.293348
575235338918, 0.297988, 0.292611
587219408479, 0.297275, 0.291904
599203478040, 0.296606, 0.291244
611187547601, 0.295957, 0.290606
623171617162, 0.295354, 0.290009
635155686722, 0.294768, 0.289431
647139756283, 0.294214, 0.288887
659123825844, 0.29368, 0.288364
671107895405, 0.293164, 0.287856
683091964966, 0.292687, 0.28739
695076034526, 0.292224, 0.286938
707060104087, 0.29179, 0.286508
719044173648, 0.291363, 0.286089
731028243209, 0.290956, 0.285691
743012312770, 0.290571, 0.285313
754996382331, 0.290198, 0.284948
766980451891, 0.289847, 0.284605
778964521452, 0.289523, 0.284287
790948591013, 0.289208, 0.28398
802932660574, 0.288904, 0.283682
814916730135, 0.28862, 0.283408
826900799695, 0.288354, 0.283145
838884869256, 0.288098, 0.282896
850868938817, 0.287857, 0.282661
862853008378, 0.287624, 0.282434
874837077939, 0.287407, 0.282221
886821147499, 0.287205, 0.282024
898805217060, 0.287011, 0.281836
910789286621, 0.286829, 0.281658
922773356182, 0.286656, 0.281489
934757425743, 0.28649, 0.281332
946741495303, 0.286336, 0.281183
958725564864, 0.286196, 0.281047
970709634425, 0.286059, 0.280915
982693703986, 0.285931, 0.280791
994677773547, 0.285809, 0.280674
1006661843108, 0.285699, 0.280566
1018645912668, 0.285594, 0.280465
1030629982229, 0.285497, 0.280371
1042614051790, 0.28541, 0.280286
1054598121351, 0.285326, 0.280205
1066582190912, 0.285249, 0.28013
1078566260472, 0.285183, 0.280066
1090550330033, 0.285123, 0.280007
1102534399594, 0.285068, 0.279956
1114518469155, 0.285022, 0.27991
1126502538716, 0.284981, 0.279872
1138486608276, 0.28495, 0.279841
1150470677837, 0.28492, 0.279814
1162454747398, 0.284899, 0.279793
1174438816959, 0.284882, 0.279776
1186422886520, 0.284874, 0.279768
1198406956081, 0.284871, 0.279765
