logging to /opt/shards_res_1000/2016020100-2016020200_unique/tenant_6_profile_res-FIX_RATE-SHARDS-0.01.csvtracefile: /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
open file /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
[FILE]: /data1/tenant_trace/2016020100-2016020200_unique/tenant_6_trace
total_access_num: 35130276
total_access_size: 3768499313882
unique_access_num: 15194428
unique_access_size: 1307729735261
min_item_size: 1
[method]: SHARDS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.028321
cache_size, BMRC_ratio, OMRC_ratio
1307729735, 0.926127, 0.938936
2615459470, 0.886489, 0.913505
3923189205, 0.856087, 0.894823
5230918941, 0.831942, 0.879898
6538648676, 0.813801, 0.867174
7846378411, 0.795625, 0.855796
9154108146, 0.782066, 0.845757
10461837882, 0.769636, 0.836696
11769567617, 0.758436, 0.828302
13077297352, 0.748480, 0.820485
14385027087, 0.739034, 0.813425
15692756823, 0.728995, 0.806261
17000486558, 0.721282, 0.800084
18308216293, 0.714463, 0.794439
19615946028, 0.707912, 0.788692
20923675764, 0.700757, 0.783115
22231405499, 0.694102, 0.777943
23539135234, 0.687945, 0.773170
24846864969, 0.682728, 0.768310
26154594705, 0.676929, 0.763850
27462324440, 0.671657, 0.759321
28770054175, 0.666929, 0.755080
30077783911, 0.662248, 0.750890
31385513646, 0.657733, 0.746995
32693243381, 0.653039, 0.743133
34000973116, 0.649140, 0.739352
35308702852, 0.645391, 0.735470
36616432587, 0.642193, 0.731903
37924162322, 0.638023, 0.728544
39231892057, 0.634704, 0.725373
40539621793, 0.631316, 0.722071
41847351528, 0.628439, 0.718980
43155081263, 0.625217, 0.715922
44462810998, 0.621846, 0.712729
45770540734, 0.618602, 0.709708
47078270469, 0.615939, 0.706779
48386000204, 0.612953, 0.704021
49693729939, 0.610708, 0.701146
51001459675, 0.607660, 0.698425
52309189410, 0.604584, 0.695718
53616919145, 0.601468, 0.693082
54924648880, 0.599271, 0.690637
56232378616, 0.596904, 0.688055
57540108351, 0.594421, 0.685575
58847838086, 0.591892, 0.683161
60155567822, 0.589453, 0.680796
61463297557, 0.586975, 0.678450
62771027292, 0.584846, 0.676099
64078757027, 0.582610, 0.673833
65386486763, 0.580509, 0.671801
66694216498, 0.578129, 0.669626
68001946233, 0.575966, 0.667733
69309675968, 0.573998, 0.665590
70617405704, 0.571825, 0.663574
71925135439, 0.569523, 0.661556
73232865174, 0.567171, 0.659626
74540594909, 0.564726, 0.657628
75848324645, 0.563100, 0.655826
77156054380, 0.561380, 0.653942
78463784115, 0.559404, 0.652143
79771513850, 0.557857, 0.650443
81079243586, 0.555989, 0.648613
82386973321, 0.554133, 0.646757
83694703056, 0.552856, 0.645066
85002432791, 0.551164, 0.643429
86310162527, 0.549657, 0.641710
87617892262, 0.547919, 0.640056
88925621997, 0.546320, 0.638417
90233351733, 0.544873, 0.636851
91541081468, 0.543366, 0.635237
92848811203, 0.541655, 0.633637
94156540938, 0.540378, 0.632100
95464270674, 0.539060, 0.630648
96772000409, 0.537520, 0.629185
98079730144, 0.535930, 0.627639
99387459879, 0.534681, 0.626236
100695189615, 0.533282, 0.624776
102002919350, 0.531800, 0.623387
103310649085, 0.530608, 0.622069
104618378820, 0.529254, 0.620591
105926108556, 0.528108, 0.619140
107233838291, 0.527013, 0.617770
108541568026, 0.525571, 0.616504
109849297761, 0.523886, 0.615166
111157027497, 0.522878, 0.613825
112464757232, 0.521626, 0.612445
113772486967, 0.520538, 0.611186
115080216702, 0.519209, 0.609979
116387946438, 0.517922, 0.608633
117695676173, 0.516293, 0.607298
119003405908, 0.514990, 0.606077
120311135644, 0.514014, 0.604930
121618865379, 0.512866, 0.603711
122926595114, 0.511892, 0.602627
124234324849, 0.510699, 0.601460
125542054585, 0.509339, 0.600298
126849784320, 0.508057, 0.599165
128157514055, 0.507030, 0.598178
129465243790, 0.506070, 0.597042
130772973526, 0.505045, 0.595889
132080703261, 0.503903, 0.594824
133388432996, 0.502611, 0.593720
134696162731, 0.501552, 0.592783
136003892467, 0.500650, 0.591767
137311622202, 0.499897, 0.590771
138619351937, 0.498755, 0.589666
139927081672, 0.498044, 0.588659
141234811408, 0.497312, 0.587685
142542541143, 0.496268, 0.586734
143850270878, 0.495339, 0.585698
145158000613, 0.494504, 0.584748
146465730349, 0.493474, 0.583746
147773460084, 0.492355, 0.582809
149081189819, 0.491460, 0.581756
150388919555, 0.490659, 0.580714
151696649290, 0.489985, 0.579780
153004379025, 0.489015, 0.578872
154312108760, 0.487976, 0.577987
155619838496, 0.487244, 0.577033
156927568231, 0.486398, 0.576160
158235297966, 0.485701, 0.575345
159543027701, 0.485077, 0.574463
160850757437, 0.484340, 0.573561
162158487172, 0.483293, 0.572707
163466216907, 0.482404, 0.571821
164773946642, 0.481445, 0.570916
166081676378, 0.480430, 0.570091
167389406113, 0.479808, 0.569205
168697135848, 0.478815, 0.568388
170004865583, 0.477925, 0.567586
171312595319, 0.477209, 0.566720
172620325054, 0.476370, 0.565872
173928054789, 0.475755, 0.565058
175235784524, 0.475131, 0.564298
176543514260, 0.474385, 0.563578
177851243995, 0.473568, 0.562852
179158973730, 0.472781, 0.561987
180466703466, 0.471980, 0.561153
181774433201, 0.471134, 0.560313
183082162936, 0.470416, 0.559490
184389892671, 0.469377, 0.558736
185697622407, 0.468577, 0.557910
187005352142, 0.467981, 0.557065
188313081877, 0.467236, 0.556333
189620811612, 0.466338, 0.555644
190928541348, 0.465593, 0.554998
192236271083, 0.465150, 0.554375
193544000818, 0.464600, 0.553726
194851730553, 0.463616, 0.553003
196159460289, 0.463124, 0.552345
197467190024, 0.462450, 0.551702
198774919759, 0.461747, 0.551013
200082649494, 0.460973, 0.550367
201390379230, 0.460293, 0.549698
202698108965, 0.459733, 0.549046
204005838700, 0.459127, 0.548391
205313568435, 0.458405, 0.547711
206621298171, 0.457900, 0.547068
207929027906, 0.457081, 0.546396
209236757641, 0.456461, 0.545770
210544487377, 0.455691, 0.545163
211852217112, 0.455134, 0.544514
213159946847, 0.454450, 0.543880
214467676582, 0.453998, 0.543307
215775406318, 0.453508, 0.542681
217083136053, 0.452938, 0.542027
218390865788, 0.452495, 0.541520
219698595523, 0.451550, 0.540800
221006325259, 0.451126, 0.540270
222314054994, 0.450401, 0.539718
223621784729, 0.449831, 0.539123
224929514464, 0.449203, 0.538454
226237244200, 0.448761, 0.537865
227544973935, 0.448076, 0.537222
228852703670, 0.447578, 0.536598
230160433405, 0.447068, 0.536037
231468163141, 0.446623, 0.535420
232775892876, 0.446072, 0.534816
234083622611, 0.445653, 0.534295
235391352346, 0.444937, 0.533700
236699082082, 0.444332, 0.533191
238006811817, 0.443953, 0.532693
239314541552, 0.443608, 0.532112
240622271288, 0.443013, 0.531528
241930001023, 0.442494, 0.530993
243237730758, 0.441971, 0.530495
244545460493, 0.441438, 0.529963
245853190229, 0.440864, 0.529388
247160919964, 0.440232, 0.528830
248468649699, 0.439788, 0.528360
249776379434, 0.439378, 0.527939
251084109170, 0.438895, 0.527438
252391838905, 0.438537, 0.526971
253699568640, 0.438060, 0.526553
255007298375, 0.437564, 0.526023
256315028111, 0.436797, 0.525539
257622757846, 0.436362, 0.525044
258930487581, 0.435946, 0.524526
260238217316, 0.435391, 0.524059
261545947052, 0.434885, 0.523587
262853676787, 0.434551, 0.523105
264161406522, 0.434129, 0.522653
265469136257, 0.433669, 0.522183
266776865993, 0.433317, 0.521694
268084595728, 0.432872, 0.521204
269392325463, 0.432512, 0.520740
270700055199, 0.432177, 0.520293
272007784934, 0.431734, 0.519806
273315514669, 0.431270, 0.519334
274623244404, 0.430938, 0.518867
275930974140, 0.430174, 0.518372
277238703875, 0.429887, 0.517982
278546433610, 0.429579, 0.517555
279854163345, 0.429245, 0.517119
281161893081, 0.428795, 0.516686
282469622816, 0.428291, 0.516245
283777352551, 0.427735, 0.515730
285085082286, 0.427306, 0.515277
286392812022, 0.426974, 0.514825
287700541757, 0.426665, 0.514404
289008271492, 0.426266, 0.513965
290316001227, 0.425931, 0.513578
291623730963, 0.425686, 0.513265
292931460698, 0.425294, 0.512821
294239190433, 0.424889, 0.512340
295546920168, 0.424648, 0.511958
296854649904, 0.424266, 0.511511
298162379639, 0.423848, 0.511062
299470109374, 0.423360, 0.510640
300777839110, 0.423019, 0.510253
302085568845, 0.422716, 0.509912
303393298580, 0.422512, 0.509579
304701028315, 0.422203, 0.509206
306008758051, 0.421901, 0.508824
307316487786, 0.421611, 0.508463
308624217521, 0.421333, 0.508087
309931947256, 0.420897, 0.507660
311239676992, 0.420496, 0.507267
312547406727, 0.420164, 0.506914
313855136462, 0.419832, 0.506601
315162866197, 0.419509, 0.506214
316470595933, 0.419159, 0.505881
317778325668, 0.418744, 0.505480
319086055403, 0.418478, 0.505101
320393785138, 0.418177, 0.504708
321701514874, 0.417844, 0.504344
323009244609, 0.417561, 0.504014
324316974344, 0.417299, 0.503644
325624704079, 0.416915, 0.503285
326932433815, 0.416563, 0.502938
328240163550, 0.416308, 0.502659
329547893285, 0.416056, 0.502311
330855623021, 0.415694, 0.501933
332163352756, 0.415363, 0.501614
333471082491, 0.415172, 0.501312
334778812226, 0.414792, 0.500962
336086541962, 0.414536, 0.500660
337394271697, 0.414214, 0.500273
338702001432, 0.413979, 0.499969
340009731167, 0.413647, 0.499579
341317460903, 0.413328, 0.499223
342625190638, 0.413039, 0.498859
343932920373, 0.412442, 0.498494
345240650108, 0.412189, 0.498130
346548379844, 0.411845, 0.497808
347856109579, 0.411496, 0.497486
349163839314, 0.411236, 0.497171
350471569049, 0.411017, 0.496894
351779298785, 0.410463, 0.496559
353087028520, 0.410159, 0.496251
354394758255, 0.409929, 0.495978
355702487990, 0.409692, 0.495713
357010217726, 0.409468, 0.495457
358317947461, 0.409191, 0.495135
359625677196, 0.409009, 0.494890
360933406932, 0.408732, 0.494560
362241136667, 0.408511, 0.494298
363548866402, 0.408053, 0.493982
364856596137, 0.407709, 0.493681
366164325873, 0.407452, 0.493350
367472055608, 0.407098, 0.493054
368779785343, 0.406879, 0.492798
370087515078, 0.406588, 0.492471
371395244814, 0.406282, 0.492175
372702974549, 0.405649, 0.491887
374010704284, 0.405434, 0.491597
375318434019, 0.405186, 0.491321
376626163755, 0.404991, 0.491039
377933893490, 0.404800, 0.490771
379241623225, 0.404587, 0.490555
380549352960, 0.404284, 0.490282
381857082696, 0.404070, 0.490046
383164812431, 0.403850, 0.489724
384472542166, 0.403586, 0.489439
385780271901, 0.403375, 0.489177
387088001637, 0.403066, 0.488850
388395731372, 0.402773, 0.488634
389703461107, 0.402459, 0.488349
391011190843, 0.401942, 0.488039
392318920578, 0.401790, 0.487803
393626650313, 0.401564, 0.487572
394934380048, 0.401323, 0.487321
396242109784, 0.401123, 0.487045
397549839519, 0.400954, 0.486764
398857569254, 0.400778, 0.486539
400165298989, 0.400504, 0.486263
401473028725, 0.400155, 0.485981
402780758460, 0.399996, 0.485736
404088488195, 0.399720, 0.485494
405396217930, 0.399550, 0.485272
406703947666, 0.399344, 0.484970
408011677401, 0.399187, 0.484740
409319407136, 0.398935, 0.484489
410627136871, 0.398712, 0.484259
411934866607, 0.398478, 0.484056
413242596342, 0.398300, 0.483800
414550326077, 0.398096, 0.483538
415858055812, 0.397858, 0.483296
417165785548, 0.397684, 0.483037
418473515283, 0.397491, 0.482793
419781245018, 0.397331, 0.482605
421088974754, 0.397083, 0.482346
422396704489, 0.396868, 0.482092
423704434224, 0.396519, 0.481856
425012163959, 0.396215, 0.481583
426319893695, 0.395678, 0.481355
427627623430, 0.395356, 0.481107
428935353165, 0.395002, 0.480897
430243082900, 0.394667, 0.480646
431550812636, 0.394330, 0.480419
432858542371, 0.394105, 0.480194
434166272106, 0.393969, 0.479960
435474001841, 0.393703, 0.479684
436781731577, 0.393448, 0.479445
438089461312, 0.393269, 0.479220
439397191047, 0.393048, 0.478984
440704920782, 0.392849, 0.478787
442012650518, 0.392558, 0.478534
443320380253, 0.392318, 0.478312
444628109988, 0.392162, 0.478107
445935839724, 0.391941, 0.477871
447243569459, 0.391732, 0.477686
448551299194, 0.391471, 0.477421
449859028929, 0.391198, 0.477176
451166758665, 0.390975, 0.476977
452474488400, 0.390779, 0.476769
453782218135, 0.390565, 0.476559
455089947870, 0.390327, 0.476334
456397677606, 0.390149, 0.476132
457705407341, 0.389985, 0.475921
459013137076, 0.389810, 0.475710
460320866811, 0.389574, 0.475483
461628596547, 0.389426, 0.475266
462936326282, 0.389066, 0.475039
464244056017, 0.388898, 0.474854
465551785752, 0.388767, 0.474643
466859515488, 0.388607, 0.474438
468167245223, 0.388461, 0.474233
469474974958, 0.388226, 0.474045
470782704693, 0.388078, 0.473891
472090434429, 0.387862, 0.473704
473398164164, 0.387617, 0.473530
474705893899, 0.387456, 0.473282
476013623635, 0.387322, 0.473066
477321353370, 0.387228, 0.472938
478629083105, 0.386962, 0.472719
479936812840, 0.386673, 0.472517
481244542576, 0.386436, 0.472326
482552272311, 0.386222, 0.472095
483860002046, 0.386083, 0.471913
485167731781, 0.385968, 0.471739
486475461517, 0.385817, 0.471552
487783191252, 0.385430, 0.471330
489090920987, 0.385316, 0.471184
490398650722, 0.385159, 0.470968
491706380458, 0.385021, 0.470757
493014110193, 0.384769, 0.470498
494321839928, 0.384633, 0.470299
495629569663, 0.384504, 0.470108
496937299399, 0.384373, 0.469955
498245029134, 0.384164, 0.469761
499552758869, 0.384072, 0.469622
500860488604, 0.383926, 0.469465
502168218340, 0.383774, 0.469257
503475948075, 0.383690, 0.469121
504783677810, 0.383586, 0.468981
506091407546, 0.383478, 0.468850
507399137281, 0.383309, 0.468696
508706867016, 0.382995, 0.468503
510014596751, 0.382785, 0.468295
511322326487, 0.382654, 0.468136
512630056222, 0.382511, 0.467968
513937785957, 0.382227, 0.467771
515245515692, 0.382044, 0.467592
516553245428, 0.381921, 0.467398
517860975163, 0.381811, 0.467242
519168704898, 0.381601, 0.467054
520476434633, 0.381269, 0.466900
521784164369, 0.381088, 0.466729
523091894104, 0.380943, 0.466564
524399623839, 0.380798, 0.466408
525707353574, 0.380640, 0.466211
527015083310, 0.380480, 0.466035
528322813045, 0.380401, 0.465904
529630542780, 0.380221, 0.465702
530938272515, 0.380074, 0.465497
532246002251, 0.379957, 0.465340
533553731986, 0.379762, 0.465215
534861461721, 0.379631, 0.465087
536169191457, 0.379525, 0.464953
537476921192, 0.379447, 0.464828
538784650927, 0.379245, 0.464697
540092380662, 0.379148, 0.464535
541400110398, 0.379031, 0.464404
542707840133, 0.378945, 0.464273
544015569868, 0.378879, 0.464168
545323299603, 0.378724, 0.463965
546631029339, 0.378554, 0.463826
547938759074, 0.378437, 0.463698
549246488809, 0.378297, 0.463587
550554218544, 0.378183, 0.463433
