logging to /opt/shards_res_1000/2016020200-2016020300_unique/tenant_3_profile_res-FIX_RATE-SHARDS-0.01.csvtracefile: /data1/tenant_trace/2016020200-2016020300_unique/tenant_3_trace
open file /data1/tenant_trace/2016020200-2016020300_unique/tenant_3_trace
[FILE]: /data1/tenant_trace/2016020200-2016020300_unique/tenant_3_trace
total_access_num: 983
total_access_size: 130645575
unique_access_num: 628
unique_access_size: 88094173
min_item_size: 1
[method]: SHARDS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.018481
cache_size, BMRC_ratio, OMRC_ratio
88094, 0.526605, 0.666667
176188, 0.526605, 0.666667
264282, 0.526605, 0.666667
352376, 0.526605, 0.666667
440470, 0.526605, 0.666667
528565, 0.526605, 0.666667
616659, 0.526605, 0.666667
704753, 0.526605, 0.666667
792847, 0.526605, 0.666667
880941, 0.526605, 0.666667
969035, 0.526605, 0.666667
1057130, 0.526605, 0.666667
1145224, 0.526605, 0.666667
1233318, 0.526605, 0.666667
1321412, 0.526605, 0.666667
1409506, 0.526605, 0.666667
1497600, 0.526605, 0.666667
1585695, 0.526605, 0.666667
1673789, 0.526605, 0.666667
1761883, 0.526605, 0.666667
1849977, 0.526605, 0.666667
1938071, 0.526605, 0.666667
2026165, 0.526605, 0.666667
2114260, 0.526605, 0.666667
2202354, 0.526605, 0.666667
2290448, 0.526605, 0.666667
2378542, 0.526605, 0.666667
2466636, 0.526605, 0.666667
2554731, 0.526605, 0.666667
2642825, 0.526605, 0.666667
2730919, 0.526605, 0.666667
2819013, 0.526605, 0.666667
2907107, 0.526605, 0.666667
2995201, 0.526605, 0.666667
3083296, 0.526605, 0.666667
3171390, 0.526605, 0.666667
3259484, 0.526605, 0.666667
3347578, 0.526605, 0.666667
3435672, 0.526605, 0.666667
3523766, 0.526605, 0.666667
3611861, 0.526605, 0.666667
3699955, 0.526605, 0.666667
3788049, 0.526605, 0.666667
3876143, 0.526605, 0.666667
3964237, 0.526605, 0.666667
4052331, 0.526605, 0.666667
4140426, 0.526605, 0.666667
4228520, 0.526605, 0.666667
4316614, 0.526605, 0.666667
4404708, 0.526605, 0.666667
4492802, 0.526605, 0.666667
4580896, 0.526605, 0.666667
4668991, 0.526605, 0.666667
4757085, 0.526605, 0.666667
4845179, 0.526605, 0.666667
4933273, 0.526605, 0.666667
5021367, 0.526605, 0.666667
5109462, 0.526605, 0.666667
5197556, 0.526605, 0.666667
5285650, 0.526605, 0.666667
5373744, 0.526605, 0.666667
5461838, 0.526605, 0.666667
5549932, 0.526605, 0.666667
5638027, 0.526605, 0.666667
5726121, 0.526605, 0.666667
5814215, 0.526605, 0.666667
5902309, 0.526605, 0.666667
5990403, 0.526605, 0.666667
6078497, 0.526605, 0.666667
6166592, 0.526605, 0.666667
6254686, 0.526605, 0.666667
6342780, 0.526605, 0.666667
6430874, 0.526605, 0.666667
6518968, 0.526605, 0.666667
