logging to /opt/shards_res_1000/2016020900-2016021000_unique/tenant_2_profile_res-FIX_RATE-SHARDS-0.01.csvtracefile: /data1/tenant_trace/2016020900-2016021000_unique/tenant_2_trace
open file /data1/tenant_trace/2016020900-2016021000_unique/tenant_2_trace
read 1000000 lines
read 2000000 lines
read 3000000 lines
read 4000000 lines
read 5000000 lines
read 6000000 lines
read 7000000 lines
read 8000000 lines
read 9000000 lines
read 10000000 lines
read 11000000 lines
read 12000000 lines
read 13000000 lines
read 14000000 lines
read 15000000 lines
read 16000000 lines
read 17000000 lines
read 18000000 lines
read 19000000 lines
read 20000000 lines
read 21000000 lines
read 22000000 lines
read 23000000 lines
read 24000000 lines
read 25000000 lines
read 26000000 lines
read 27000000 lines
read 28000000 lines
read 29000000 lines
read 30000000 lines
read 31000000 lines
read 32000000 lines
read 33000000 lines
read 34000000 lines
read 35000000 lines
read 36000000 lines
[FILE]: /data1/tenant_trace/2016020900-2016021000_unique/tenant_2_trace
total_access_num: 36923985
total_access_size: 130836272924
unique_access_num: 22707776
unique_access_size: 80744789818
min_item_size: 1
[method]: SHARDS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.025458
cache_size, BMRC_ratio, OMRC_ratio
80744789, 0.958192, 0.957678
161489579, 0.947870, 0.947511
242234369, 0.940358, 0.940050
322979159, 0.933939, 0.933580
403723949, 0.928479, 0.928144
484468738, 0.923515, 0.923239
565213528, 0.919013, 0.918722
645958318, 0.914620, 0.914373
726703108, 0.910744, 0.910478
807447898, 0.906960, 0.906646
888192687, 0.903454, 0.903177
968937477, 0.900131, 0.899851
1049682267, 0.896983, 0.896769
1130427057, 0.893854, 0.893538
1211171847, 0.891033, 0.890816
1291916637, 0.888241, 0.888091
1372661426, 0.885402, 0.885248
1453406216, 0.882644, 0.882521
1534151006, 0.880185, 0.880061
1614895796, 0.877811, 0.877632
1695640586, 0.875405, 0.875187
1776385375, 0.873108, 0.872977
1857130165, 0.870926, 0.870783
1937874955, 0.868781, 0.868619
2018619745, 0.866662, 0.866523
2099364535, 0.864460, 0.864372
2180109325, 0.862605, 0.862501
2260854114, 0.860761, 0.860616
2341598904, 0.858889, 0.858755
2422343694, 0.857083, 0.856938
2503088484, 0.855200, 0.855056
2583833274, 0.853397, 0.853260
2664578063, 0.851720, 0.851508
2745322853, 0.849960, 0.849769
2826067643, 0.848398, 0.848207
2906812433, 0.846780, 0.846555
2987557223, 0.845189, 0.844935
3068302013, 0.843673, 0.843456
3149046802, 0.842185, 0.841924
3229791592, 0.840664, 0.840364
3310536382, 0.839171, 0.838877
3391281172, 0.837764, 0.837444
3472025962, 0.836261, 0.835979
3552770751, 0.834740, 0.834468
3633515541, 0.833284, 0.832992
3714260331, 0.831940, 0.831616
3795005121, 0.830533, 0.830218
3875749911, 0.829205, 0.828859
3956494701, 0.827850, 0.827486
4037239490, 0.826591, 0.826240
4117984280, 0.825445, 0.825043
4198729070, 0.824265, 0.823816
4279473860, 0.823055, 0.822573
4360218650, 0.821935, 0.821438
4440963439, 0.820744, 0.820252
4521708229, 0.819480, 0.819017
4602453019, 0.818419, 0.817926
4683197809, 0.817429, 0.816926
4763942599, 0.816345, 0.815818
4844687389, 0.815278, 0.814732
4925432178, 0.814104, 0.813511
5006176968, 0.812954, 0.812382
5086921758, 0.811876, 0.811347
5167666548, 0.810837, 0.810239
5248411338, 0.809749, 0.809143
5329156127, 0.808719, 0.808094
5409900917, 0.807732, 0.807084
5490645707, 0.806617, 0.805977
5571390497, 0.805595, 0.804926
5652135287, 0.804654, 0.803921
5732880077, 0.803622, 0.802889
5813624866, 0.802644, 0.801871
5894369656, 0.801690, 0.800928
5975114446, 0.800656, 0.799883
6055859236, 0.799666, 0.798919
6136604026, 0.798726, 0.798003
6217348815, 0.797737, 0.797026
6298093605, 0.796806, 0.796089
6378838395, 0.795969, 0.795257
6459583185, 0.795073, 0.794353
6540327975, 0.794235, 0.793483
6621072765, 0.793298, 0.792500
6701817554, 0.792318, 0.791525
6782562344, 0.791385, 0.790599
6863307134, 0.790531, 0.789732
6944051924, 0.789646, 0.788855
7024796714, 0.788629, 0.787815
7105541503, 0.787791, 0.786975
7186286293, 0.786937, 0.786136
7267031083, 0.786099, 0.785304
7347775873, 0.785251, 0.784459
7428520663, 0.784362, 0.783598
7509265453, 0.783539, 0.782742
7590010242, 0.782744, 0.781927
7670755032, 0.781934, 0.781107
7751499822, 0.781199, 0.780383
7832244612, 0.780382, 0.779530
7912989402, 0.779554, 0.778712
7993734191, 0.778829, 0.777965
8074478981, 0.778020, 0.777128
8155223771, 0.777227, 0.776299
8235968561, 0.776422, 0.775465
8316713351, 0.775629, 0.774669
8397458141, 0.774959, 0.773968
8478202930, 0.774227, 0.773212
8558947720, 0.773423, 0.772427
8639692510, 0.772689, 0.771679
8720437300, 0.772034, 0.770999
8801182090, 0.771429, 0.770420
8881926879, 0.770758, 0.769732
8962671669, 0.770050, 0.769001
9043416459, 0.769338, 0.768302
9124161249, 0.768606, 0.767557
9204906039, 0.767873, 0.766831
9285650829, 0.767146, 0.766114
9366395618, 0.766394, 0.765374
9447140408, 0.765708, 0.764692
9527885198, 0.765038, 0.764012
9608629988, 0.764372, 0.763338
9689374778, 0.763767, 0.762731
9770119567, 0.763053, 0.761994
9850864357, 0.762417, 0.761333
9931609147, 0.761715, 0.760654
10012353937, 0.761039, 0.759993
10093098727, 0.760424, 0.759370
10173843517, 0.759764, 0.758739
10254588306, 0.759124, 0.758092
10335333096, 0.758454, 0.757412
10416077886, 0.757750, 0.756710
10496822676, 0.757049, 0.756001
10577567466, 0.756394, 0.755340
10658312255, 0.755784, 0.754712
10739057045, 0.755195, 0.754105
10819801835, 0.754611, 0.753525
10900546625, 0.754031, 0.752962
10981291415, 0.753445, 0.752372
11062036205, 0.752805, 0.751768
11142780994, 0.752237, 0.751191
11223525784, 0.751624, 0.750579
11304270574, 0.751056, 0.750005
11385015364, 0.750524, 0.749444
11465760154, 0.749836, 0.748729
11546504943, 0.749299, 0.748169
11627249733, 0.748729, 0.747592
